,home,away,home_total,home_ml,away_total,away_ml
627,Boston,Phoenix,119,-200,123,170
628,Atlanta,Detroit,103,100,136,-120
629,NewYork,Philadelphia,87,150,90,-180
630,Minnesota,Toronto,112,155,122,-185
631,Chicago,Cleveland,118,-350,116,275
632,Houston,LALakers,115,-160,124,140
633,GoldenState,Orlando,109,200,95,-250
634,OklahomaCity,Portland,119,-270,106,220
635,Utah,Sacramento,123,-450,101,350
636,SanAntonio,Miami,107,100,102,-120
637,Denver,Indiana,107,-105,115,-115
638,Washington,Detroit,106,-110,100,-110
639,Atlanta,Toronto,117,350,122,-450
640,Brooklyn,Philadelphia,111,120,117,-140
641,Miami,Sacramento,118,-155,113,135
642,Milwaukee,Chicago,111,-2500,98,1100
643,Cleveland,NewYork,86,100,106,-120
644,Charlotte,Orlando,83,140,106,-160
645,Memphis,NewOrleans,116,-160,126,140
646,Houston,OklahomaCity,107,-310,112,250
647,Boston,LALakers,139,140,107,-160
648,Minnesota,Denver,100,-160,107,140
649,Utah,Indiana,118,-400,88,300
650,Phoenix,SanAntonio,118,-190,120,160
651,Portland,GoldenState,129,-330,124,260
652,Dallas,LAClippers,107,-140,110,120
653,Detroit,Sacramento,127,105,106,-125
654,Orlando,OklahomaCity,114,-140,120,120
655,Miami,Washington,134,-600,129,425
656,NewYork,LALakers,92,525,100,-750
657,Toronto,Philadelphia,107,-250,95,200
658,Atlanta,LAClippers,102,170,95,-200
659,Boston,Memphis,119,-280,95,230
660,NewOrleans,SanAntonio,117,-160,121,140
661,Houston,Denver,121,-550,105,400
662,Chicago,Minnesota,117,-110,110,-110
663,Phoenix,Indiana,87,-105,112,-115
664,GoldenState,Utah,96,350,129,-450
665,Cleveland,Washington,112,-140,124,120
666,Brooklyn,LALakers,113,200,128,-250
667,Portland,Dallas,125,185,133,-230
668,Charlotte,Milwaukee,103,800,116,-1400
669,Orlando,Boston,98,-150,109,130
670,Detroit,Memphis,112,105,125,-125
671,NewYork,Toronto,112,325,118,-425
672,Chicago,Sacramento,81,-130,98,110
673,Miami,LAClippers,117,115,122,-135
674,Minnesota,Houston,124,200,131,-250
675,NewOrleans,Denver,106,-180,113,150
676,OklahomaCity,Atlanta,140,-400,111,300
677,SanAntonio,Phoenix,99,-200,103,170
678,GoldenState,Indiana,118,220,129,-270
679,Utah,Dallas,112,-210,107,175
680,Detroit,Brooklyn,111,120,121,-140
681,Cleveland,Chicago,106,-115,118,-105
682,Minnesota,OklahomaCity,104,-125,113,105
683,Philadelphia,LALakers,108,185,91,-230
684,Denver,Houston,117,-140,110,120
685,SanAntonio,Toronto,106,145,110,-170
686,NewOrleans,Boston,123,-125,108,105
687,Memphis,Phoenix,114,-135,109,115
688,Orlando,LAClippers,97,135,112,-155
689,NewYork,Brooklyn,110,-140,97,120
690,Atlanta,Washington,152,-115,133,-105
691,Portland,Indiana,139,-150,129,130
692,Detroit,Cleveland,100,-300,115,240
693,Miami,Orlando,113,-300,92,240
694,OklahomaCity,Dallas,97,185,107,-230
695,Minnesota,Sacramento,129,-155,133,135
696,Chicago,SanAntonio,110,-120,109,100
697,Utah,Houston,117,-1600,126,900
698,Charlotte,NewYork,97,-120,92,100
699,Philadelphia,GoldenState,115,-1200,104,750
700,Miami,Boston,101,-135,109,115
701,Cleveland,NewOrleans,111,290,125,-380
702,Toronto,Atlanta,130,-1200,114,750
703,Memphis,Denver,104,-125,96,105
704,Milwaukee,Washington,151,-800,131,550
705,Dallas,Phoenix,104,-310,133,250
706,Indiana,Chicago,115,-425,106,325
707,Brooklyn,Detroit,125,-250,115,200
708,NewYork,Memphis,106,120,127,-140
709,SanAntonio,Utah,127,190,120,-240
710,Sacramento,OklahomaCity,100,120,120,-140
711,Portland,Houston,125,180,112,-220
712,Cleveland,Toronto,109,400,115,-550
713,Washington,Charlotte,121,-180,107,150
714,Atlanta,Philadelphia,127,210,117,-260
715,Boston,GoldenState,119,-1200,104,750
716,LAClippers,Sacramento,103,-1500,124,850
717,Denver,Utah,106,130,100,-150
718,Detroit,Toronto,92,150,105,-180
719,Brooklyn,Chicago,133,-240,118,190
720,Houston,Dallas,128,-380,121,290
721,NewOrleans,Memphis,139,-330,111,260
722,Phoenix,OklahomaCity,107,-110,111,-110
723,Milwaukee,Denver,115,-1100,127,700
724,LALakers,Portland,119,-1200,127,750
725,LAClippers,Minnesota,118,-650,106,450
726,Orlando,Miami,89,120,102,-140
727,Indiana,NewYork,85,-700,92,500
728,Washington,Brooklyn,113,110,107,-130
729,Cleveland,GoldenState,112,-135,131,115
730,Boston,Philadelphia,116,100,95,-120
731,Dallas,Atlanta,123,-200,100,170
732,SanAntonio,Charlotte,114,-425,90,325
733,Portland,Utah,124,220,107,-270
734,Sacramento,LALakers,113,240,129,-300
735,Detroit,Denver,128,125,123,-145
736,Houston,NewOrleans,117,-220,109,180
737,Milwaukee,Phoenix,129,-1000,108,650
738,Toronto,Chicago,129,-600,102,425
739,Cleveland,NewYork,134,115,139,-135
740,Washington,GoldenState,117,-270,125,220
741,Indiana,Dallas,103,-220,112,180
742,Charlotte,Orlando,100,175,112,-210
743,Brooklyn,Phoenix,119,-135,97,115
744,Miami,Philadelphia,137,-140,106,120
745,Atlanta,Boston,115,210,123,-260
746,Memphis,Detroit,96,-500,82,375
747,Sacramento,Minnesota,113,-115,109,-105
748,LAClippers,SanAntonio,108,-500,105,375
749,NewOrleans,Milwaukee,108,225,120,-275
750,Houston,Charlotte,125,-1200,110,750
751,Denver,Portland,127,-185,99,155
752,LALakers,SanAntonio,129,-700,102,500
753,Detroit,Phoenix,116,130,108,-150
754,Brooklyn,GoldenState,129,-275,88,225
755,Toronto,Indiana,119,-240,118,190
756,Boston,Orlando,116,-240,100,190
757,Minnesota,Atlanta,120,-190,127,160
758,OklahomaCity,Cleveland,109,-1200,103,750
759,Dallas,Memphis,107,-200,121,170
760,Utah,Denver,95,-480,98,365
761,LAClippers,Miami,128,-275,111,225
762,NewYork,Orlando,105,145,103,-170
763,Chicago,NewOrleans,119,190,125,-240
764,Milwaukee,Philadelphia,112,-500,101,375
765,Portland,SanAntonio,125,-160,117,140
766,LALakers,Houston,111,-275,121,225
767,Washington,Dallas,119,140,118,-160
768,Philadelphia,Memphis,119,-240,107,190
769,Boston,Atlanta,112,-750,107,525
770,OklahomaCity,Detroit,108,-1000,101,650
771,Indiana,Toronto,106,-120,115,100
772,Phoenix,Houston,127,120,91,-140
773,Sacramento,Miami,105,-105,97,-115
774,Utah,Portland,117,-500,114,375
775,Orlando,Milwaukee,95,300,111,-400
776,Detroit,NewYork,92,105,95,-125
777,Charlotte,Dallas,100,140,116,-160
778,Indiana,NewOrleans,117,-210,124,175
779,Toronto,Brooklyn,119,-265,118,215
780,Minnesota,LAClippers,142,375,115,-500
781,GoldenState,LALakers,120,900,125,-1600
782,Phoenix,Denver,108,150,117,-180
783,Sacramento,SanAntonio,122,120,102,-140
784,OklahomaCity,Boston,111,105,112,-125
785,Atlanta,NewYork,140,-200,135,170
786,Philadelphia,Chicago,118,-675,111,475
787,Washington,Memphis,99,125,106,-145
788,Houston,Utah,113,-145,114,125
789,Cleveland,LAClippers,92,200,133,-250
790,Portland,Miami,115,-220,109,180
791,Indiana,Brooklyn,105,-275,106,225
792,Orlando,Atlanta,135,-400,126,300
793,Detroit,Charlotte,76,-170,87,145
794,Toronto,Minnesota,137,-360,126,280
795,Milwaukee,Sacramento,123,-600,111,425
796,Dallas,Utah,119,-110,123,-110
797,Denver,SanAntonio,127,-300,120,240
798,GoldenState,Miami,101,240,113,-300
799,LALakers,Phoenix,125,-1100,100,700
800,Washington,Chicago,126,-170,114,145
801,Philadelphia,LAClippers,110,100,103,-120
802,NewOrleans,Portland,138,-150,117,130
803,OklahomaCity,SanAntonio,106,-360,114,280
804,Houston,Boston,116,-135,105,115
805,Orlando,Detroit,116,-280,112,230
806,Cleveland,Atlanta,127,130,105,-150
807,NewYork,Washington,96,-150,114,130
808,Brooklyn,Toronto,101,150,91,-180
809,Indiana,Milwaukee,118,-130,111,110
810,Minnesota,Charlotte,108,-270,115,220
811,Memphis,Portland,111,-160,104,140
812,Dallas,Sacramento,130,-400,111,300
813,Phoenix,GoldenState,112,-300,106,240
814,Utah,Miami,116,-190,101,160
815,Denver,LALakers,116,125,120,-145
816,Boston,LAClippers,141,-115,133,-105
817,NewOrleans,OklahomaCity,118,-180,123,150
818,Detroit,Milwaukee,106,700,126,-1100
819,Atlanta,Miami,129,200,124,-250
820,Chicago,Charlotte,93,-190,103,160
821,Philadelphia,Brooklyn,112,-275,104,225
822,Sacramento,Memphis,129,105,125,-125
823,GoldenState,Houston,105,375,135,-500
824,Washington,Cleveland,108,-255,113,205
825,Orlando,Dallas,106,160,122,-190
826,Toronto,Phoenix,118,-380,101,290
827,NewYork,Indiana,98,235,106,-290
828,Minnesota,Boston,117,280,127,-360
829,OklahomaCity,Denver,113,-130,101,110
830,Utah,SanAntonio,104,-300,113,240
831,Portland,NewOrleans,115,205,128,-255
832,LALakers,Memphis,117,-650,105,450
833,LAClippers,Sacramento,103,-450,112,350
834,Charlotte,Brooklyn,86,160,115,-190
835,Atlanta,Dallas,111,-135,107,115
836,Miami,Cleveland,124,-1100,105,700
837,Chicago,Phoenix,104,130,112,-150
838,Milwaukee,Philadelphia,119,-470,98,360
839,Utah,Houston,110,-130,120,110
840,LALakers,Boston,114,-330,112,260
841,Toronto,Indiana,127,-210,81,175
842,Denver,Minnesota,128,-1500,116,850
843,OklahomaCity,SanAntonio,131,-220,103,180
844,Chicago,Washington,126,140,117,-160
845,GoldenState,NewOrleans,101,425,115,-600
846,Portland,Detroit,107,-230,104,185
847,Washington,Milwaukee,134,775,137,-1300
848,Cleveland,Miami,125,215,119,-265
849,Philadelphia,Atlanta,129,-400,112,300
850,Brooklyn,Orlando,113,-170,115,145
851,Houston,NewYork,123,-1000,112,650
852,Dallas,Minnesota,139,-1200,123,750
853,Utah,Phoenix,111,-400,131,300
854,LAClippers,Memphis,124,-675,97,475
855,Indiana,Charlotte,119,-800,80,550
856,Toronto,Milwaukee,97,-110,108,-110
857,Chicago,OklahomaCity,122,280,124,-360
858,Denver,Detroit,115,-1200,98,750
859,Portland,Boston,106,240,118,-300
860,LALakers,NewOrleans,118,-340,109,270
861,GoldenState,Sacramento,94,255,112,-320
862,Cleveland,Philadelphia,108,275,94,-350
863,Charlotte,NewYork,107,115,101,-135
864,Washington,Brooklyn,110,105,106,-125
865,Atlanta,Orlando,120,120,130,-140
866,SanAntonio,Dallas,103,150,109,-180
867,Miami,Minnesota,126,-800,129,550
868,Houston,Memphis,140,-800,112,550
869,Phoenix,LAClippers,92,260,102,-330
870,Utah,Boston,103,-220,114,180
871,Philadelphia,NewYork,115,-330,106,260
872,OklahomaCity,Sacramento,112,-360,108,280
873,Indiana,Portland,106,-550,100,400
874,GoldenState,LALakers,86,425,116,-600
875,Orlando,Minnesota,136,-360,125,280
876,Toronto,Charlotte,96,-1400,99,800
877,Atlanta,Brooklyn,141,120,118,-140
878,NewOrleans,Cleveland,116,-1000,104,650
879,Memphis,Sacramento,101,-135,104,115
880,Milwaukee,OklahomaCity,133,-650,86,450
881,Miami,Dallas,126,-145,118,125
882,Utah,Washington,129,-600,119,425
883,Phoenix,Detroit,111,-425,113,325
884,LAClippers,Denver,132,-275,103,225
885,NewYork,Chicago,125,-140,115,120
886,Miami,Brooklyn,116,-330,113,260
887,Atlanta,Portland,129,-130,117,110
888,Cleveland,Indiana,104,350,113,-450
889,Memphis,LALakers,105,500,88,-700
890,Boston,Houston,110,-110,111,-110
891,SanAntonio,Orlando,114,-185,113,155
892,Phoenix,GoldenState,99,-550,115,400
893,Charlotte,Milwaukee,85,750,93,-1200
894,LAClippers,Philadelphia,136,-2000,130,1000
895,Minnesota,Dallas,91,210,111,-260
896,Sacramento,Detroit,106,-550,100,400
897,Denver,Toronto,133,-140,118,120
898,NewOrleans,LALakers,114,-135,122,115
899,GoldenState,Washington,110,250,124,-310
900,NewYork,Houston,125,425,123,-600
901,Orlando,Portland,107,-275,130,225
902,Cleveland,Utah,113,450,126,-650
903,Atlanta,Memphis,88,-140,127,120
904,Miami,Milwaukee,105,175,89,-210
905,Chicago,Dallas,109,220,107,-270
906,SanAntonio,Indiana,111,120,116,-140
907,Charlotte,SanAntonio,103,145,104,-170
908,Boston,Brooklyn,120,-280,129,230
909,OklahomaCity,LAClippers,94,170,109,-200
910,NewOrleans,Minnesota,134,-650,139,450
911,Denver,GoldenState,100,-3000,116,1200
912,Phoenix,Toronto,114,145,123,-170
913,LALakers,Philadelphia,120,-1000,107,650
914,Sacramento,Washington,133,-240,126,190
915,Cleveland,Boston,106,145,112,-170
916,Detroit,OklahomaCity,107,300,114,-400
917,Miami,Orlando,116,-300,113,240
918,NewYork,Utah,104,300,112,-400
919,Brooklyn,Memphis,79,-115,118,-105
920,Minnesota,Chicago,115,-130,108,110
921,Dallas,NewOrleans,127,-280,123,230
922,Milwaukee,Indiana,119,-700,100,500
923,Portland,Washington,125,-360,104,280
924,Charlotte,Denver,112,400,114,-550
925,Houston,LAClippers,105,100,120,-120
926,Sacramento,Philadelphia,108,-230,125,185
927,GoldenState,Toronto,113,350,121,-450
928,Washington,Atlanta,118,-230,112,185
929,NewYork,OklahomaCity,103,200,126,-250
930,Brooklyn,SanAntonio,139,-140,120,120
931,Boston,Utah,94,-125,99,105
932,NewOrleans,Miami,110,-125,104,105
933,Minnesota,Orlando,118,125,132,-145
934,Chicago,Indiana,102,115,108,-135
935,Dallas,Memphis,121,-310,96,250
936,Phoenix,Portland,127,140,117,-160
937,LALakers,Milwaukee,113,-125,103,105
938,Charlotte,Houston,108,300,99,-400
939,Detroit,Utah,105,300,111,-400
940,Cleveland,Denver,104,400,102,-550
941,Memphis,Atlanta,118,-270,101,220
942,GoldenState,Philadelphia,118,145,114,-170
943,Portland,Sacramento,111,-130,123,110
944,Brooklyn,Chicago,110,-280,107,230
945,LAClippers,LALakers,103,-150,112,130
946,Minnesota,NewOrleans,107,260,120,-330
947,Boston,OklahomaCity,104,-280,105,230
948,Phoenix,Milwaukee,140,225,131,-275
949,Dallas,Indiana,109,-275,112,225
950,Washington,Miami,89,190,100,-240
951,Houston,Orlando,106,-400,126,300
952,Cleveland,SanAntonio,132,160,129,-190
953,NewYork,Detroit,96,-230,84,185
954,Sacramento,Toronto,113,170,118,-200
955,Atlanta,Charlotte,143,-200,138,170
956,Utah,Toronto,92,-260,101,210
957,Denver,Milwaukee,109,-330,95,260
958,Indiana,Boston,111,130,114,-150
959,Washington,NewYork,122,-220,115,180
960,Chicago,Cleveland,108,-180,103,150
961,Houston,Minnesota,117,-900,111,600
962,Memphis,Orlando,115,-130,120,110
963,SanAntonio,Dallas,119,150,109,-180
964,Portland,Phoenix,121,-250,105,200
965,LALakers,Brooklyn,102,-1000,104,650
966,GoldenState,LAClippers,107,575,131,-850
967,Atlanta,NewYork,131,-250,136,200
968,Philadelphia,Detroit,124,-800,106,550
969,Miami,Charlotte,98,-700,109,500
970,Dallas,Denver,113,120,97,-140
971,NewOrleans,Utah,104,-145,106,125
972,LALakers,LAClippers,103,-185,101,165
973,Brooklyn,Orlando,118,280,128,-340
974,Portland,Memphis,140,-160,135,140
975,Washington,Phoenix,112,260,125,-310
976,Milwaukee,Boston,119,-175,112,155
977,SanAntonio,Sacramento,129,145,120,-165
978,Dallas,Houston,149,100,153,-120
979,Denver,Miami,105,155,125,-175
980,OklahomaCity,Utah,110,-110,94,-110
981,LAClippers,NewOrleans,126,-220,103,190
982,Indiana,Philadelphia,127,240,121,-280
983,Toronto,LALakers,107,130,92,-150
984,Brooklyn,Washington,118,-170,110,150
985,Boston,Portland,128,-170,124,150
986,Memphis,SanAntonio,106,-155,108,135
987,Orlando,Sacramento,132,-130,116,110
988,Houston,Milwaukee,120,175,116,-200
989,Phoenix,Dallas,117,210,115,-250
990,Miami,Toronto,103,125,107,-145
991,Washington,Indiana,100,330,111,-400
992,OklahomaCity,Denver,113,-240,121,200
993,NewOrleans,Memphis,109,-185,99,165
994,Philadelphia,SanAntonio,132,-335,130,275
995,Utah,LALakers,108,225,116,-265
996,Milwaukee,Brooklyn,116,-5000,119,1500
997,Sacramento,Dallas,110,200,114,-240
998,LAClippers,Phoenix,115,-400,117,330
999,Indiana,Orlando,120,-105,109,-115
1000,Miami,Boston,112,175,106,-200
1001,Portland,Houston,110,150,102,-170
1002,Utah,Memphis,124,-220,115,190
1003,Washington,Philadelphia,98,450,107,-600
1004,SanAntonio,Denver,126,135,132,-155
1005,LALakers,OklahomaCity,86,-240,105,200
1006,Orlando,Toronto,99,310,109,-370
1007,Boston,Brooklyn,149,-380,115,320
1008,Sacramento,NewOrleans,140,170,125,-190
1009,Milwaukee,Miami,130,-450,116,375
1010,Phoenix,Indiana,114,110,99,-130
1011,Dallas,LAClippers,111,160,126,-180
1012,Denver,Portland,115,170,125,-190
1013,Houston,LALakers,113,-160,97,140
1014,SanAntonio,Utah,119,-410,111,340
1015,Memphis,OklahomaCity,121,135,92,-155
1016,Brooklyn,Sacramento,119,180,106,-210
1017,Philadelphia,Orlando,108,-190,101,170
1018,NewOrleans,Washington,118,-340,107,280
1019,Toronto,Boston,100,-125,122,105
1020,Portland,LAClippers,117,-175,122,155
1021,Denver,Utah,134,-105,132,-115
1022,Indiana,LALakers,116,190,111,-220
1023,Miami,Phoenix,112,150,119,-170
1024,Dallas,Milwaukee,136,190,132,-220
1025,OklahomaCity,Washington,121,-450,103,375
1026,Toronto,Memphis,108,-310,99,260
1027,NewOrleans,SanAntonio,113,-165,122,145
1028,Boston,Orlando,122,-410,119,340
1029,Portland,Philadelphia,124,-135,121,115
1030,Sacramento,Houston,112,170,129,-190
1031,LAClippers,Brooklyn,120,-380,129,320
1032,Phoenix,OklahomaCity,128,-360,101,300
1033,Utah,Dallas,114,-240,122,200
1034,Milwaukee,Toronto,106,-220,114,190
1035,Miami,Indiana,114,-180,92,160
1036,LALakers,Denver,124,-210,121,180
1037,Orlando,Brooklyn,96,-185,108,165
1038,SanAntonio,Houston,123,-190,105,170
1039,Philadelphia,Phoenix,117,450,130,-600
1040,Dallas,Portland,131,125,134,-145
1041,Memphis,Boston,107,175,122,-200
1042,Sacramento,NewOrleans,112,-150,106,130
1043,Washington,Milwaukee,113,330,126,-400
1044,Houston,Indiana,104,-280,108,240
1045,Philadelphia,Toronto,121,220,125,-260
1046,OklahomaCity,Miami,116,150,115,-170
1047,Denver,LAClippers,111,175,124,-200
1048,Orlando,NewOrleans,133,-170,127,150
1049,Memphis,Milwaukee,119,-165,106,145
1050,Utah,SanAntonio,118,240,112,-280
1051,LALakers,Sacramento,122,-170,136,150
1052,Boston,Washington,90,110,96,-130
1053,Phoenix,Dallas,128,-380,102,320
1054,Brooklyn,Portland,133,575,134,-850
1055,Houston,Philadelphia,96,-140,134,120
1056,Toronto,Denver,117,125,109,-145
1057,LAClippers,OklahomaCity,107,-155,103,135
1058,Indiana,Miami,109,110,92,-130
1059,Portland,Memphis,126,-260,122,220
1060,Denver,Utah,135,-180,125,160
1061,Toronto,Brooklyn,134,-600,110,450
1062,Boston,Philadelphia,109,-270,101,230
1063,LAClippers,Dallas,118,-345,110,285
1064,Milwaukee,Orlando,110,-1600,122,900
1065,LALakers,Portland,93,-300,100,250
1066,Indiana,Miami,101,165,113,-185
1067,Houston,OklahomaCity,123,-110,108,-110
1068,Toronto,Brooklyn,104,-900,99,600
1069,Denver,Utah,105,-165,124,145
1070,Boston,Philadelphia,128,-200,101,175
1071,LAClippers,Dallas,114,-200,127,175
1072,Indiana,Miami,100,155,109,-175
1073,Houston,OklahomaCity,111,-135,98,115
1074,Milwaukee,Orlando,111,-1400,96,800
1075,LALakers,Portland,111,-245,88,205
1076,Brooklyn,Toronto,92,450,117,-600
1077,Utah,Denver,124,-120,87,100
1078,Philadelphia,Boston,94,200,102,-240
1079,Dallas,LAClippers,122,180,130,-210
1080,Orlando,Milwaukee,107,700,121,-1100
1081,Miami,Indiana,124,-210,115,180
1082,OklahomaCity,Houston,119,110,107,-130
1083,Portland,LALakers,108,290,116,-350
1084,Philadelphia,Boston,106,260,110,-310
1085,Dallas,LAClippers,135,280,133,-340
1086,Brooklyn,Toronto,122,800,150,-1400
1087,Utah,Denver,129,-160,127,140
1088,Orlando,Milwaukee,106,700,121,-1100
1089,OklahomaCity,Houston,117,130,114,-150
1090,Miami,Indiana,99,-275,87,235
1091,Portland,LALakers,115,260,135,-310
1092,Denver,Utah,117,120,107,-140
1093,LAClippers,Dallas,154,-380,111,320
1094,Milwaukee,Orlando,118,-1600,104,900
1095,Houston,OklahomaCity,114,-215,80,185
1096,LALakers,Portland,131,-1400,122,800
1097,Toronto,Boston,94,-130,112,110
1098,Dallas,LAClippers,97,400,111,-500
1099,Utah,Denver,107,-140,119,120
1100,OklahomaCity,Houston,104,200,100,-240
1101,Milwaukee,Miami,104,-240,115,200
1102,Toronto,Boston,99,-130,102,110
1103,Denver,Utah,80,-130,78,110
1104,Milwaukee,Miami,114,-240,116,200
1105,Houston,OklahomaCity,104,-240,102,200
1106,Boston,Toronto,103,110,104,-130
1107,LAClippers,Denver,120,-425,97,355
1108,Miami,Milwaukee,115,180,100,-210
1109,LALakers,Houston,97,-290,112,245
1110,Boston,Toronto,93,-130,100,110
1111,LAClippers,Denver,101,-420,110,350
1112,Miami,Milwaukee,115,105,118,-125
1113,LALakers,Houston,117,-250,109,210
1114,Toronto,Boston,89,110,111,-130
1115,Denver,LAClippers,107,370,113,-440
1116,Milwaukee,Miami,94,195,103,-230
1117,Houston,LALakers,102,155,112,-175
1118,Boston,Toronto,122,-150,125,130
1119,Denver,LAClippers,85,280,96,-340
1120,Houston,LALakers,100,185,110,-215
1121,Toronto,Boston,87,135,92,-155
1122,LAClippers,Denver,105,-400,111,330
1123,LALakers,Houston,119,-260,96,210
1124,Denver,LAClippers,111,330,98,-400
1125,LAClippers,Denver,89,-340,104,280
1126,Boston,Miami,114,-135,117,115
1127,Boston,Miami,101,-155,106,135
1128,LALakers,Denver,126,-290,114,245
1129,Miami,Boston,106,145,117,-165
1130,LALakers,Denver,105,-300,103,250
1131,Denver,LALakers,114,215,106,-255
1132,Miami,Boston,112,145,109,-165
1133,Denver,LALakers,108,210,114,-250
1134,Boston,Miami,121,-160,108,140
1135,LALakers,Denver,117,-200,107,175
1136,Miami,Boston,125,130,113,-150
1137,LALakers,Miami,116,-185,98,165
1138,LALakers,Miami,124,-600,114,450
1139,Miami,LALakers,115,350,104,-420
1140,Miami,LALakers,96,270,102,-330
1141,LALakers,Miami,108,-340,111,280
1142,Miami,LALakers,93,210,106,-250
1143,Brooklyn,GoldenState,125,-320,99,265
1144,LALakers,LAClippers,109,-135,116,115
1145,Cleveland,Charlotte,121,120,114,-140
1146,Indiana,NewYork,121,-330,107,270
1147,Orlando,Miami,113,170,107,-190
1148,Philadelphia,Washington,113,-300,107,250
1149,Boston,Milwaukee,122,170,121,-190
1150,Toronto,NewOrleans,99,-170,113,150
1151,Chicago,Atlanta,104,110,124,-130
1152,Memphis,SanAntonio,119,-130,131,110
1153,Minnesota,Detroit,111,-220,101,190
1154,Denver,Sacramento,122,-310,124,260
1155,Portland,Utah,100,110,120,-130
1156,Phoenix,Dallas,106,-120,102,100
1157,Miami,NewOrleans,111,-150,98,130
1158,Milwaukee,GoldenState,138,-600,99,450
1159,Boston,Brooklyn,95,125,123,-145
1160,LALakers,Dallas,138,-265,115,225
1161,Denver,LAClippers,108,140,121,-160
1162,Memphis,Atlanta,112,-140,122,120
1163,Detroit,Cleveland,119,-110,128,-110
1164,Washington,Orlando,120,-130,130,110
1165,Charlotte,OklahomaCity,107,-145,109,125
1166,NewYork,Philadelphia,89,300,109,-360
1167,Chicago,Indiana,106,200,125,-240
1168,SanAntonio,Toronto,119,125,114,-145
1169,Utah,Minnesota,111,-450,116,375
1170,Sacramento,Phoenix,106,140,103,-160
1171,Portland,Houston,128,-360,126,300
1172,LAClippers,Dallas,73,-160,124,140
1173,NewOrleans,SanAntonio,98,-190,95,170
1174,Washington,Orlando,113,110,120,-130
1175,Charlotte,Brooklyn,106,450,104,-600
1176,Cleveland,Philadelphia,118,200,94,-240
1177,NewYork,Milwaukee,130,750,110,-1200
1178,Indiana,Boston,108,115,107,-135
1179,Chicago,GoldenState,128,145,129,-165
1180,Sacramento,Phoenix,100,140,116,-160
1181,LALakers,Minnesota,127,-500,91,400
1182,Brooklyn,Memphis,111,105,116,-125
1183,Atlanta,Detroit,128,-500,120,400
1184,OklahomaCity,Utah,109,330,110,-400
1185,Denver,Houston,124,-265,111,225
1186,LALakers,Portland,107,-230,115,195
1187,Indiana,Boston,111,-115,116,-105
1188,Washington,Chicago,107,-250,115,210
1189,Detroit,GoldenState,106,150,116,-170
1190,Philadelphia,Toronto,100,-125,93,105
1191,Cleveland,NewYork,86,-160,95,140
1192,Miami,Milwaukee,97,200,144,-240
1193,OklahomaCity,Orlando,107,210,118,-250
1194,LAClippers,Minnesota,124,-650,101,475
1195,Phoenix,NewOrleans,111,-125,86,105
1196,Sacramento,Denver,125,-110,115,-110
1197,Boston,Memphis,126,-285,107,245
1198,Miami,Milwaukee,119,220,108,-260
1199,Brooklyn,Atlanta,145,-230,141,195
1200,Dallas,Charlotte,99,-360,118,300
1201,SanAntonio,LALakers,107,260,121,-310
1202,LAClippers,Portland,128,-220,105,190
1203,Indiana,Cleveland,119,-330,99,270
1204,Washington,Chicago,130,-300,133,250
1205,Orlando,Philadelphia,92,155,116,-175
1206,Houston,Sacramento,122,-210,119,180
1207,Toronto,NewYork,100,-360,83,300
1208,OklahomaCity,NewOrleans,80,175,113,-200
1209,Utah,Phoenix,95,-170,106,150
1210,Detroit,Boston,96,310,93,-370
1211,Dallas,Miami,93,-105,83,-115
1212,Charlotte,Memphis,93,-180,108,160
1213,Brooklyn,Atlanta,96,-250,114,210
1214,Minnesota,Washington,109,-110,130,-110
1215,SanAntonio,LALakers,103,280,109,-340
1216,Milwaukee,Chicago,126,-1500,96,850
1217,Denver,Phoenix,103,-160,106,140
1218,Utah,LAClippers,106,140,100,-160
1219,GoldenState,Portland,98,130,123,-150
1220,Houston,Sacramento,102,110,94,-130
1221,Philadelphia,Charlotte,127,-500,112,400
1222,Orlando,OklahomaCity,99,-175,108,155
1223,Indiana,NewYork,102,-450,106,375
1224,NewOrleans,Toronto,120,-105,116,-115
1225,Atlanta,Cleveland,91,-240,96,200
1226,Detroit,Boston,120,300,122,-360
1227,Brooklyn,Washington,122,-330,123,270
1228,Memphis,LALakers,94,400,108,-500
1229,SanAntonio,Utah,109,190,130,-220
1230,Minnesota,Denver,109,300,124,-360
1231,Phoenix,LAClippers,107,130,112,-150
1232,Chicago,Dallas,118,150,108,-170
1233,GoldenState,Portland,137,170,122,-190
1234,Philadelphia,Charlotte,118,-350,101,290
1235,Orlando,Cleveland,103,-220,83,190
1236,Miami,OklahomaCity,118,-420,90,350
1237,Atlanta,NewYork,108,-300,113,250
1238,Toronto,Boston,114,-240,126,200
1239,Houston,Dallas,100,-170,113,150
1240,NewOrleans,Indiana,116,-125,118,105
1241,Milwaukee,Detroit,125,-2500,115,1100
1242,GoldenState,Sacramento,137,105,106,-125
1243,Brooklyn,Utah,130,160,96,-180
1244,Memphis,LALakers,92,380,94,-460
1245,Denver,Minnesota,123,-650,116,475
1246,LAClippers,SanAntonio,113,-310,116,260
1247,Portland,Chicago,108,-450,111,375
1248,Indiana,Houston,114,-145,107,125
1249,Philadelphia,Washington,141,-260,136,220
1250,Orlando,Cleveland,105,-210,94,180
1251,Miami,Boston,105,-140,107,120
1252,Atlanta,Charlotte,94,-250,102,210
1253,NewYork,Utah,112,260,100,-310
