,home,away,home_total,home_ml,away_total,away_ml
67,LAClippers,SanAntonio,103,-200,97,170
68,Brooklyn,Houston,123,160,116,-190
69,Orlando,Milwaukee,91,160,123,-190
70,Indiana,Cleveland,102,-330,95,260
71,Boston,NewYork,104,-700,102,500
72,Chicago,Detroit,112,-165,106,142
73,Dallas,LALakers,110,105,119,-125
74,Sacramento,Utah,102,175,101,-210
75,GoldenState,SanAntonio,110,240,127,-300
76,OklahomaCity,NewOrleans,115,-130,104,110
77,Detroit,Brooklyn,113,150,109,-180
78,Orlando,Denver,87,150,91,-180
79,Memphis,Phoenix,105,130,114,-150
80,Washington,Minnesota,109,-150,131,130
81,Milwaukee,Toronto,115,-260,105,210
82,GoldenState,Charlotte,87,205,93,-255
83,Portland,Philadelphia,128,-115,129,-105
84,Indiana,Chicago,108,-130,95,110
85,Miami,Houston,129,135,100,-155
86,NewYork,Sacramento,92,-105,113,-115
87,SanAntonio,LALakers,96,100,103,-120
88,Cleveland,Dallas,111,180,131,-220
89,LAClippers,Utah,105,-200,94,170
90,Washington,Detroit,115,-180,99,150
91,Brooklyn,NewOrleans,135,-170,125,145
92,Minnesota,Milwaukee,106,260,134,-330
93,Memphis,Houston,100,190,107,-240
94,Phoenix,Philadelphia,114,-110,109,-110
95,GoldenState,Portland,127,600,118,-900
96,Cleveland,Boston,113,210,119,-260
97,Charlotte,Indiana,122,115,120,-135
98,Atlanta,SanAntonio,108,190,100,-240
99,OklahomaCity,Orlando,102,-145,94,125
100,Chicago,LALakers,112,250,118,-310
101,Denver,Miami,109,-220,89,180
102,Detroit,NewYork,122,-165,102,142
103,Indiana,Washington,121,-150,106,130
104,Toronto,Sacramento,124,-350,120,275
105,Houston,GoldenState,129,-2500,112,1100
106,Atlanta,Chicago,93,-110,113,-110
107,Memphis,Minnesota,137,145,121,-170
108,Dallas,Orlando,107,-310,106,250
109,Utah,Philadelphia,106,-150,104,130
110,LAClippers,Milwaukee,124,220,129,-270
111,Charlotte,Boston,87,250,108,-310
112,SanAntonio,OklahomaCity,121,-200,112,170
113,Phoenix,Miami,108,-130,124,110
114,LAClippers,Portland,107,-240,101,190
115,Indiana,Detroit,112,-260,106,210
116,Washington,Cleveland,100,-190,113,160
117,Orlando,Memphis,118,-330,86,260
118,Atlanta,Sacramento,109,130,121,-150
119,Minnesota,GoldenState,125,-750,119,525
120,NewOrleans,Toronto,104,115,122,-135
121,Dallas,NewYork,102,-700,106,500
122,Utah,Milwaukee,103,115,100,-135
123,Denver,Philadelphia,100,-220,97,180
124,Portland,Brooklyn,115,-170,119,145
125,LALakers,Miami,95,-425,80,325
126,SanAntonio,Boston,115,-125,135,105
127,Charlotte,NewOrleans,110,105,115,-125
128,OklahomaCity,GoldenState,114,-900,108,600
129,Memphis,Dallas,122,190,138,-240
130,Chicago,Houston,94,225,117,-275
131,Minnesota,Denver,98,150,100,-180
132,Orlando,Indiana,102,-200,109,170
133,Philadelphia,Charlotte,114,-1200,106,750
134,OklahomaCity,Milwaukee,119,325,121,-425
135,NewYork,Cleveland,87,-130,108,110
136,Phoenix,Brooklyn,138,-150,112,130
137,Portland,Atlanta,124,-425,113,325
138,LALakers,Toronto,104,-650,113,450
139,Detroit,Minnesota,114,-185,120,155
140,Boston,Dallas,116,-145,106,125
141,SanAntonio,Memphis,109,-650,113,450
142,NewOrleans,Houston,116,275,122,-350
143,GoldenState,Utah,108,300,122,-400
144,LAClippers,Toronto,98,-500,88,375
145,Philadelphia,Cleveland,98,-750,97,525
146,Indiana,OklahomaCity,111,-120,85,100
147,Miami,Detroit,117,-400,108,300
148,Chicago,NewYork,120,-275,102,225
149,Phoenix,LALakers,115,142,123,-165
150,Denver,Atlanta,121,-650,125,450
151,Utah,Brooklyn,119,-300,114,240
152,Sacramento,Portland,107,105,99,-125
153,Orlando,Philadelphia,112,-130,97,110
154,Charlotte,Memphis,117,-140,119,120
155,Houston,LAClippers,102,-135,93,115
156,Boston,Washington,140,-310,133,250
157,Minnesota,SanAntonio,129,-120,114,100
158,Portland,Toronto,106,-160,114,140
159,LALakers,GoldenState,120,-450,94,350
160,Cleveland,Miami,97,170,108,-200
161,Milwaukee,Chicago,124,-800,115,550
162,NewYork,Dallas,106,270,103,-340
163,NewOrleans,LAClippers,132,160,127,-190
164,Phoenix,Atlanta,128,-340,112,270
165,Denver,Brooklyn,101,-350,93,275
166,Charlotte,Detroit,109,150,106,-180
167,Orlando,SanAntonio,111,-145,109,125
168,Minnesota,Washington,116,-250,137,200
169,Houston,Indiana,111,-260,102,210
170,OklahomaCity,Philadelphia,127,140,119,-160
171,Memphis,Utah,107,275,106,-350
172,GoldenState,Boston,100,250,105,-310
173,LALakers,Sacramento,99,-600,97,425
174,Chicago,Brooklyn,111,-180,117,150
175,Indiana,Milwaukee,83,260,102,-330
176,NewYork,Charlotte,102,-180,103,150
177,Minnesota,Houston,105,-135,125,115
178,Miami,NewOrleans,109,-330,94,260
179,Dallas,Toronto,110,-185,102,155
180,SanAntonio,Portland,116,-130,121,110
181,LAClippers,Atlanta,150,-500,101,375
182,Cleveland,Philadelphia,95,250,114,-310
183,Sacramento,Boston,100,125,99,-145
184,Memphis,Denver,114,225,131,-275
185,Orlando,Washington,125,-240,121,190
