,home,away,home_total,away_total,home_ml,away_ml,home_rat,away_rat,bet_home,home_win,bet_win,bet_lose,bet_odds,winnings
0,Toronto Raptors,New Orleans Pelicans,130,122,1.3571428571428572,3.3,2.5734027207204195,-0.5093593018062643,1,1,1,0,1.3571428571428572,35.71428571428572
1,Los Angeles Clippers,Los Angeles Lakers,112,102,2.5,1.5555555555555556,4.37862351620734,2.002113488571497,1,1,1,0,2.5,150.0
2,Indiana Pacers,Detroit Pistons,110,119,1.3333333333333333,3.4,-0.8382516396313262,-5.345550810181083,1,0,0,1,1.3333333333333333,-100.0
3,Orlando Magic,Cleveland Cavaliers,94,85,1.1818181818181819,5.0,-5.849191857264415,-4.3096922998804,0,1,0,1,5.0,-100.0
4,Charlotte Hornets,Chicago Bulls,126,125,2.45,1.5882352941176472,-2.6556167949067144,-1.683908653442645,0,1,0,1,1.5882352941176472,-100.0
5,Philadelphia 76ers,Boston Celtics,107,93,1.4166666666666667,2.9,3.2263149135805165,4.979438202404495,0,1,0,1,2.9,-100.0
6,Miami Heat,Mephis Grizzlies,120,101,1.3333333333333333,3.4,2.6168031631855277,,0,1,0,1,3.4,-100.0
7,Brooklyn Nets,Minnesota Timberwolves,126,127,1.606060606060606,2.42,1.5507666832269629,-1.926723951826823,1,0,0,1,1.606060606060606,-100.0
8,San Antonio Spurs,New York Knicks,120,111,1.1333333333333333,6.25,-0.7090459573831968,-1.3776575013818333,1,1,1,0,1.1333333333333333,13.333333333333329
9,Dallas Mavericks,Washington Wizards,108,100,1.2222222222222223,4.5,3.2529267441129175,-3.3898110933853416,1,1,1,0,1.2222222222222223,22.22222222222223
10,Utah Jazz,Oklahoma City Thunder,100,95,1.2,4.75,5.444032665642926,-5.529767726818109,1,1,1,0,1.2,20.0
11,Pheonix Suns,Sacramento Kings,124,95,1.9523809523809523,1.8695652173913042,,-3.442680688649372,0,1,0,1,1.8695652173913042,-100.0
12,Portland Trailblazers,Denver Nuggets,100,108,2.0,1.8333333333333335,,2.453386720352784,0,0,1,0,1.8333333333333335,83.33333333333334
13,Detroit Pistons,Atlanta Hawks,100,117,1.8,2.05,-5.345550810181083,-0.9797304267208033,0,0,1,0,2.05,104.99999999999997
14,Houston Rockets,Milwaukee Bucks,111,117,1.8333333333333335,2.0,-4.190734912751116,5.690196176556934,0,0,1,0,2.0,100.0
15,Golden State Warriors,Los Angeles Clippers,122,141,1.9090909090909092,1.9090909090909092,0.7095695951871412,4.37862351620734,0,0,1,0,1.9090909090909092,90.9090909090909
16,Boston Celtics,Toronto Raptors,112,106,1.7142857142857144,2.2,4.979438202404495,2.5734027207204195,1,1,1,0,1.7142857142857144,71.42857142857144
17,Charlotte Hornets,Minnesota Timberwolves,99,121,2.8,1.4545454545454546,-2.6556167949067144,-1.926723951826823,0,0,1,0,1.4545454545454546,45.45454545454547
18,Brooklyn Nets,New York Knicks,113,109,1.2777777777777777,3.8,1.5507666832269629,-1.3776575013818333,1,1,1,0,1.2777777777777777,27.77777777777777
19,Oklahoma City Thunder,Washington Wizards,85,97,1.25,4.0,-5.529767726818109,-3.3898110933853416,0,0,1,0,4.0,300.0
20,New Orleans Pelicans,Dallas Mavericks,116,123,1.7692307692307692,2.1,-0.5093593018062643,3.2529267441129175,0,0,1,0,2.1,110.0
21,Mephis Grizzlies,Chicago Bulls,102,110,2.05,1.8,,-1.683908653442645,0,0,1,0,1.8,80.0
22,Denver Nuggets,Pheonix Suns,108,107,1.1,7.5,2.453386720352784,,0,1,0,1,7.5,-100.0
23,Sacramento Kings,Portland Trailblazers,112,122,2.0,1.8333333333333335,-3.442680688649372,,0,0,1,0,1.8333333333333335,83.33333333333334
24,Los Angeles Lakers,Utah Jazz,95,86,1.625,2.4,2.002113488571497,5.444032665642926,0,1,0,1,2.4,-100.0
25,Milwaukee Bucks,Miami Heat,126,131,1.125,6.5,5.690196176556934,2.6168031631855277,1,0,0,1,1.125,-100.0
26,Detroit Pistons,Philadelphia 76ers,111,117,2.6,1.526315789473684,-5.345550810181083,3.2263149135805165,0,0,1,0,1.526315789473684,52.63157894736841
27,New York Knicks,Boston Celtics,95,118,2.9,1.4166666666666667,-1.3776575013818333,4.979438202404495,0,0,1,0,1.4166666666666667,41.666666666666686
28,Atlanta Hawks,Orlando Magic,103,99,2.15,1.7407407407407407,-0.9797304267208033,-5.849191857264415,1,1,1,0,2.15,115.0
29,Cleveland Cavaliers,Indiana Pacers,110,99,2.6,1.526315789473684,-4.3096922998804,-0.8382516396313262,0,1,0,1,1.526315789473684,-100.0
