,home,away,home_total,away_total,home_ml,away_ml,home_rat,away_rat,bet_home,home_win,bet_win,bet_lose,bet_odds,winnings
30,Chicago Bulls,Toronto Raptors,84,108,2.35,1.6451612903225805,-1.683908653442645,2.5734027207204195,0,0,1,0,1.6451612903225805,64.51612903225805
31,Houston Rockets,New Orleans Pelicans,126,123,1.1,7.5,-4.190734912751116,-0.5093593018062643,0,1,0,1,7.5,-100.0
32,San Antonio Spurs,Washington Wizards,124,122,1.1,7.5,-0.7090459573831968,-3.3898110933853416,1,1,1,0,1.1,10.000000000000014
33,Utah Jazz,Sacramento Kings,113,81,1.2222222222222223,4.5,5.444032665642926,-3.442680688649372,1,1,1,0,1.2222222222222223,22.22222222222223
34,Pheonix Suns,Los Angeles Clippers,130,122,5.0,1.1818181818181819,,4.37862351620734,0,1,0,1,1.1818181818181819,-100.0
35,Oklahoma City Thunder,Golden State Warriors,120,92,1.8333333333333335,2.0,-5.529767726818109,0.7095695951871412,0,1,0,1,2.0,-100.0
36,Mephis Grizzlies,Brooklyn Nets,134,133,2.5,1.5555555555555556,,1.5507666832269629,0,1,0,1,1.5555555555555556,-100.0
37,Minnesota Timberwolves,Miami Heat,116,109,1.3333333333333333,3.4,-1.926723951826823,2.6168031631855277,0,1,0,1,3.4,-100.0
38,Dallas Mavericks,Portland Trailblazers,119,121,1.6896551724137931,2.25,3.2529267441129175,,0,0,1,0,2.25,125.0
39,Los Angeles Lakers,Charlotte Hornets,120,101,1.0714285714285714,9.0,2.002113488571497,-2.6556167949067144,1,1,1,0,1.0714285714285714,7.142857142857139
40,Detroit Pistons,Indiana Pacers,96,94,2.1,1.7692307692307692,-5.345550810181083,-0.8382516396313262,0,1,0,1,1.7692307692307692,-100.0
41,New York Knicks,Chicago Bulls,105,98,2.15,1.7407407407407407,-1.3776575013818333,-1.683908653442645,1,1,1,0,2.15,115.0
42,Atlanta Hawks,Philadelphia 76ers,103,105,3.3,1.3571428571428572,-0.9797304267208033,3.2263149135805165,0,0,1,0,1.3571428571428572,35.71428571428572
43,Toronto Raptors,Orlando Magic,104,95,1.4761904761904763,2.75,2.5734027207204195,-5.849191857264415,1,1,1,0,1.4761904761904763,47.61904761904762
44,New Orleans Pelicans,Golden State Warriors,123,134,1.7142857142857144,2.2,-0.5093593018062643,0.7095695951871412,0,0,1,0,2.2,120.00000000000003
45,Milwaukee Bucks,Cleveland Cavaliers,129,112,1.0333333333333334,13.0,5.690196176556934,-4.3096922998804,1,1,1,0,1.0333333333333334,3.333333333333343
46,Houston Rockets,Oklahoma City Thunder,116,112,1.1666666666666667,5.25,-4.190734912751116,-5.529767726818109,1,1,1,0,1.1666666666666667,16.66666666666667
47,San Antonio Spurs,Portland Trailblazers,113,110,1.4,3.0,-0.7090459573831968,,0,1,0,1,3.0,-100.0
48,Pheonix Suns,Utah Jazz,95,96,2.6,1.526315789473684,,5.444032665642926,0,0,1,0,1.526315789473684,52.63157894736841
49,Sacramento Kings,Denver Nuggets,94,101,2.8,1.4545454545454546,-3.442680688649372,2.453386720352784,0,0,1,0,1.4545454545454546,45.45454545454547
50,Los Angeles Clippers,Charlotte Hornets,111,96,1.0333333333333334,13.0,4.37862351620734,-2.6556167949067144,1,1,1,0,1.0333333333333334,3.333333333333343
51,Miami Heat,Atlanta Hawks,112,97,1.25,4.0,2.6168031631855277,-0.9797304267208033,1,1,1,0,1.25,25.0
52,Denver Nuggets,Dallas Mavericks,106,109,1.434782608695652,2.85,2.453386720352784,3.2529267441129175,0,0,1,0,2.85,185.0
53,Los Angeles Lakers,Mephis Grizzlies,120,91,1.1176470588235294,6.75,2.002113488571497,,0,1,0,1,6.75,-100.0
54,Orlando Magic,New York Knicks,95,83,1.2,4.75,-5.849191857264415,-1.3776575013818333,0,1,0,1,4.75,-100.0
55,Philadelphia 76ers,Minnesota Timberwolves,117,95,1.3225806451612903,3.5,3.2263149135805165,-1.926723951826823,1,1,1,0,1.3225806451612903,32.258064516129025
56,Cleveland Cavaliers,Chicago Bulls,117,111,2.1,1.7692307692307692,-4.3096922998804,-1.683908653442645,0,1,0,1,1.7692307692307692,-100.0
57,Toronto Raptors,Detroit Pistons,125,113,1.2,4.75,2.5734027207204195,-5.345550810181083,1,1,1,0,1.2,20.0
58,Brooklyn Nets,Indiana Pacers,108,118,1.6666666666666665,2.3,1.5507666832269629,-0.8382516396313262,1,0,0,1,1.6666666666666665,-100.0
59,Boston Celtics,Milwaukee Bucks,116,105,2.42,1.606060606060606,4.979438202404495,5.690196176556934,0,1,0,1,1.606060606060606,-100.0
60,Washington Wizards,Houston Rockets,158,159,3.75,1.2857142857142856,-3.3898110933853416,-4.190734912751116,1,0,0,1,3.75,-100.0
61,Oklahoma City Thunder,Portland Trailblazers,99,102,2.0,1.8333333333333335,-5.529767726818109,,0,0,1,0,1.8333333333333335,83.33333333333334
62,Sacramento Kings,Charlotte Hornets,111,118,1.2857142857142856,3.75,-3.442680688649372,-2.6556167949067144,0,0,1,0,3.75,275.0
63,Utah Jazz,Los Angeles Clippers,110,96,1.3571428571428572,3.3,5.444032665642926,4.37862351620734,1,1,1,0,1.3571428571428572,35.71428571428572
64,Golden State Warriors,Pheonix Suns,110,121,1.434782608695652,2.85,0.7095695951871412,,0,0,1,0,2.85,185.0
65,Atlanta Hawks,Miami Heat,97,106,3.2,1.3703703703703702,-0.9797304267208033,2.6168031631855277,0,0,1,0,1.3703703703703702,37.03703703703701
66,New Orleans Pelicans,Denver Nuggets,122,107,2.5,1.5555555555555556,-0.5093593018062643,2.453386720352784,0,1,0,1,1.5555555555555556,-100.0
67,Los Angeles Clippers,San Antonio Spurs,103,97,1.5,2.7,4.37862351620734,-0.7090459573831968,1,1,1,0,1.5,50.0
68,Brooklyn Nets,Houston Rockets,123,116,2.6,1.526315789473684,1.5507666832269629,-4.190734912751116,1,1,1,0,2.6,160.0
69,Orlando Magic,Milwaukee Bucks,91,123,2.6,1.526315789473684,-5.849191857264415,5.690196176556934,0,0,1,0,1.526315789473684,52.63157894736841
70,Indiana Pacers,Cleveland Cavaliers,102,95,1.303030303030303,3.6,-0.8382516396313262,-4.3096922998804,1,1,1,0,1.303030303030303,30.30303030303031
71,Boston Celtics,New York Knicks,104,102,1.1428571428571428,6.0,4.979438202404495,-1.3776575013818333,1,1,1,0,1.1428571428571428,14.285714285714278
72,Chicago Bulls,Detroit Pistons,112,106,1.606060606060606,2.42,-1.683908653442645,-5.345550810181083,1,1,1,0,1.606060606060606,60.606060606060595
73,Dallas Mavericks,Los Angeles Lakers,110,119,2.05,1.8,3.2529267441129175,2.002113488571497,1,0,0,1,2.05,-100.0
74,Sacramento Kings,Utah Jazz,102,101,2.75,1.4761904761904763,-3.442680688649372,5.444032665642926,0,1,0,1,1.4761904761904763,-100.0
75,Golden State Warriors,San Antonio Spurs,110,127,3.4,1.3333333333333333,0.7095695951871412,-0.7090459573831968,1,0,0,1,3.4,-100.0
76,Oklahoma City Thunder,New Orleans Pelicans,115,104,1.7692307692307692,2.1,-5.529767726818109,-0.5093593018062643,0,1,0,1,2.1,-100.0
77,Detroit Pistons,Brooklyn Nets,113,109,2.5,1.5555555555555556,-5.345550810181083,1.5507666832269629,0,1,0,1,1.5555555555555556,-100.0
78,Orlando Magic,Denver Nuggets,87,91,2.5,1.5555555555555556,-5.849191857264415,2.453386720352784,0,0,1,0,1.5555555555555556,55.55555555555557
79,Mephis Grizzlies,Pheonix Suns,105,114,2.3,1.6666666666666665,,,0,0,1,0,1.6666666666666665,66.66666666666666
80,Washington Wizards,Minnesota Timberwolves,109,131,1.6666666666666665,2.3,-3.3898110933853416,-1.926723951826823,0,0,1,0,2.3,129.99999999999997
81,Milwaukee Bucks,Toronto Raptors,115,105,1.3846153846153846,3.1,5.690196176556934,2.5734027207204195,1,1,1,0,1.3846153846153846,38.46153846153845
82,Golden State Warriors,Charlotte Hornets,87,93,3.05,1.392156862745098,0.7095695951871412,-2.6556167949067144,1,0,0,1,3.05,-100.0
83,Portland Trailblazers,Philadelphia 76ers,128,129,1.8695652173913042,1.9523809523809523,,3.2263149135805165,0,0,1,0,1.9523809523809523,95.23809523809524
84,Indiana Pacers,Chicago Bulls,108,95,1.7692307692307692,2.1,-0.8382516396313262,-1.683908653442645,1,1,1,0,1.7692307692307692,76.9230769230769
85,Miami Heat,Houston Rockets,129,100,2.35,1.6451612903225805,2.6168031631855277,-4.190734912751116,1,1,1,0,2.35,135.0
86,New York Knicks,Sacramento Kings,92,113,1.9523809523809523,1.8695652173913042,-1.3776575013818333,-3.442680688649372,1,0,0,1,1.9523809523809523,-100.0
87,San Antonio Spurs,Los Angeles Lakers,96,103,2.0,1.8333333333333335,-0.7090459573831968,2.002113488571497,0,0,1,0,1.8333333333333335,83.33333333333334
88,Cleveland Cavaliers,Dallas Mavericks,111,131,2.8,1.4545454545454546,-4.3096922998804,3.2529267441129175,0,0,1,0,1.4545454545454546,45.45454545454547
89,Los Angeles Clippers,Utah Jazz,105,94,1.5,2.7,4.37862351620734,5.444032665642926,0,1,0,1,2.7,-100.0
90,Washington Wizards,Detroit Pistons,115,99,1.5555555555555556,2.5,-3.3898110933853416,-5.345550810181083,1,1,1,0,1.5555555555555556,55.55555555555557
91,Brooklyn Nets,New Orleans Pelicans,135,125,1.5882352941176472,2.45,1.5507666832269629,-0.5093593018062643,1,1,1,0,1.5882352941176472,58.823529411764724
92,Minnesota Timberwolves,Milwaukee Bucks,106,134,3.6,1.303030303030303,-1.926723951826823,5.690196176556934,0,0,1,0,1.303030303030303,30.30303030303031
93,Mephis Grizzlies,Houston Rockets,100,107,2.9,1.4166666666666667,,-4.190734912751116,0,0,1,0,1.4166666666666667,41.666666666666686
94,Pheonix Suns,Philadelphia 76ers,114,109,1.9090909090909092,1.9090909090909092,,3.2263149135805165,0,1,0,1,1.9090909090909092,-100.0
95,Golden State Warriors,Portland Trailblazers,127,118,7.0,1.1111111111111112,0.7095695951871412,,0,1,0,1,1.1111111111111112,-100.0
96,Cleveland Cavaliers,Boston Celtics,113,119,3.1,1.3846153846153846,-4.3096922998804,4.979438202404495,0,0,1,0,1.3846153846153846,38.46153846153845
97,Charlotte Hornets,Indiana Pacers,122,120,2.15,1.7407407407407407,-2.6556167949067144,-0.8382516396313262,0,1,0,1,1.7407407407407407,-100.0
98,Atlanta Hawks,San Antonio Spurs,108,100,2.9,1.4166666666666667,-0.9797304267208033,-0.7090459573831968,0,1,0,1,1.4166666666666667,-100.0
99,Oklahoma City Thunder,Orlando Magic,102,94,1.6896551724137931,2.25,-5.529767726818109,-5.849191857264415,1,1,1,0,1.6896551724137931,68.9655172413793
100,Chicago Bulls,Los Angeles Lakers,112,118,3.5,1.3225806451612903,-1.683908653442645,2.002113488571497,0,0,1,0,1.3225806451612903,32.258064516129025
101,Denver Nuggets,Miami Heat,109,89,1.4545454545454546,2.8,2.453386720352784,2.6168031631855277,0,1,0,1,2.8,-100.0
102,Detroit Pistons,New York Knicks,122,102,1.606060606060606,2.42,-5.345550810181083,-1.3776575013818333,0,1,0,1,2.42,-100.0
103,Indiana Pacers,Washington Wizards,121,106,1.6666666666666665,2.3,-0.8382516396313262,-3.3898110933853416,1,1,1,0,1.6666666666666665,66.66666666666666
104,Toronto Raptors,Sacramento Kings,124,120,1.2857142857142856,3.75,2.5734027207204195,-3.442680688649372,1,1,1,0,1.2857142857142856,28.571428571428555
105,Houston Rockets,Golden State Warriors,129,112,1.04,12.0,-4.190734912751116,0.7095695951871412,0,1,0,1,12.0,-100.0
106,Atlanta Hawks,Chicago Bulls,93,113,1.9090909090909092,1.9090909090909092,-0.9797304267208033,-1.683908653442645,1,0,0,1,1.9090909090909092,-100.0
107,Mephis Grizzlies,Minnesota Timberwolves,137,121,2.45,1.5882352941176472,,-1.926723951826823,0,1,0,1,1.5882352941176472,-100.0
108,Dallas Mavericks,Orlando Magic,107,106,1.3225806451612903,3.5,3.2529267441129175,-5.849191857264415,1,1,1,0,1.3225806451612903,32.258064516129025
109,Utah Jazz,Philadelphia 76ers,106,104,1.6666666666666665,2.3,5.444032665642926,3.2263149135805165,1,1,1,0,1.6666666666666665,66.66666666666666
110,Los Angeles Clippers,Milwaukee Bucks,124,129,3.2,1.3703703703703702,4.37862351620734,5.690196176556934,0,0,1,0,1.3703703703703702,37.03703703703701
111,Charlotte Hornets,Boston Celtics,87,108,3.5,1.3225806451612903,-2.6556167949067144,4.979438202404495,0,0,1,0,1.3225806451612903,32.258064516129025
112,San Antonio Spurs,Oklahoma City Thunder,121,112,1.5,2.7,-0.7090459573831968,-5.529767726818109,1,1,1,0,1.5,50.0
113,Pheonix Suns,Miami Heat,108,124,1.7692307692307692,2.1,,2.6168031631855277,0,0,1,0,2.1,110.0
114,Los Angeles Clippers,Portland Trailblazers,107,101,1.4166666666666667,2.9,4.37862351620734,,0,1,0,1,2.9,-100.0
115,Indiana Pacers,Detroit Pistons,112,106,1.3846153846153846,3.1,-0.8382516396313262,-5.345550810181083,1,1,1,0,1.3846153846153846,38.46153846153845
116,Washington Wizards,Cleveland Cavaliers,100,113,1.526315789473684,2.6,-3.3898110933853416,-4.3096922998804,1,0,0,1,1.526315789473684,-100.0
117,Orlando Magic,Mephis Grizzlies,118,86,1.303030303030303,3.6,-5.849191857264415,,0,1,0,1,3.6,-100.0
118,Atlanta Hawks,Sacramento Kings,109,121,2.3,1.6666666666666665,-0.9797304267208033,-3.442680688649372,1,0,0,1,2.3,-100.0
119,Minnesota Timberwolves,Golden State Warriors,125,119,1.1333333333333333,6.25,-1.926723951826823,0.7095695951871412,0,1,0,1,6.25,-100.0
120,New Orleans Pelicans,Toronto Raptors,104,122,2.15,1.7407407407407407,-0.5093593018062643,2.5734027207204195,0,0,1,0,1.7407407407407407,74.07407407407408
121,Dallas Mavericks,New York Knicks,102,106,1.1428571428571428,6.0,3.2529267441129175,-1.3776575013818333,1,0,0,1,1.1428571428571428,-100.0
122,Utah Jazz,Milwaukee Bucks,103,100,2.15,1.7407407407407407,5.444032665642926,5.690196176556934,0,1,0,1,1.7407407407407407,-100.0
123,Denver Nuggets,Philadelphia 76ers,100,97,1.4545454545454546,2.8,2.453386720352784,3.2263149135805165,0,1,0,1,2.8,-100.0
124,Portland Trailblazers,Brooklyn Nets,115,119,1.5882352941176472,2.45,,1.5507666832269629,0,0,1,0,2.45,145.00000000000003
125,Los Angeles Lakers,Miami Heat,95,80,1.2352941176470589,4.25,2.002113488571497,2.6168031631855277,0,1,0,1,4.25,-100.0
126,San Antonio Spurs,Boston Celtics,115,135,1.8,2.05,-0.7090459573831968,4.979438202404495,0,0,1,0,2.05,104.99999999999997
127,Charlotte Hornets,New Orleans Pelicans,110,115,2.05,1.8,-2.6556167949067144,-0.5093593018062643,0,0,1,0,1.8,80.0
128,Oklahoma City Thunder,Golden State Warriors,114,108,1.1111111111111112,7.0,-5.529767726818109,0.7095695951871412,0,1,0,1,7.0,-100.0
129,Mephis Grizzlies,Dallas Mavericks,122,138,2.9,1.4166666666666667,,3.2529267441129175,0,0,1,0,1.4166666666666667,41.666666666666686
130,Chicago Bulls,Houston Rockets,94,117,3.25,1.3636363636363638,-1.683908653442645,-4.190734912751116,1,0,0,1,3.25,-100.0
131,Minnesota Timberwolves,Denver Nuggets,98,100,2.5,1.5555555555555556,-1.926723951826823,2.453386720352784,0,0,1,0,1.5555555555555556,55.55555555555557
132,Orlando Magic,Indiana Pacers,102,109,1.5,2.7,-5.849191857264415,-0.8382516396313262,0,0,1,0,2.7,170.0
133,Philadelphia 76ers,Charlotte Hornets,114,106,1.0833333333333333,8.5,3.2263149135805165,-2.6556167949067144,1,1,1,0,1.0833333333333333,8.333333333333329
134,Oklahoma City Thunder,Milwaukee Bucks,119,121,4.25,1.2352941176470589,-5.529767726818109,5.690196176556934,0,0,1,0,1.2352941176470589,23.529411764705884
135,New York Knicks,Cleveland Cavaliers,87,108,1.7692307692307692,2.1,-1.3776575013818333,-4.3096922998804,1,0,0,1,1.7692307692307692,-100.0
136,Pheonix Suns,Brooklyn Nets,138,112,1.6666666666666665,2.3,,1.5507666832269629,0,1,0,1,2.3,-100.0
137,Portland Trailblazers,Atlanta Hawks,124,113,1.2352941176470589,4.25,,-0.9797304267208033,0,1,0,1,4.25,-100.0
138,Los Angeles Lakers,Toronto Raptors,104,113,1.1538461538461537,5.5,2.002113488571497,2.5734027207204195,0,0,1,0,5.5,450.0
139,Detroit Pistons,Minnesota Timberwolves,114,120,1.5405405405405406,2.55,-5.345550810181083,-1.926723951826823,0,0,1,0,2.55,154.99999999999997
140,Boston Celtics,Dallas Mavericks,116,106,1.6896551724137931,2.25,4.979438202404495,3.2529267441129175,1,1,1,0,1.6896551724137931,68.9655172413793
141,San Antonio Spurs,Mephis Grizzlies,109,113,1.1538461538461537,5.5,-0.7090459573831968,,0,0,1,0,5.5,450.0
142,New Orleans Pelicans,Houston Rockets,116,122,3.75,1.2857142857142856,-0.5093593018062643,-4.190734912751116,1,0,0,1,3.75,-100.0
143,Golden State Warriors,Utah Jazz,108,122,4.0,1.25,0.7095695951871412,5.444032665642926,0,0,1,0,1.25,25.0
144,Los Angeles Clippers,Toronto Raptors,98,88,1.2,4.75,4.37862351620734,2.5734027207204195,1,1,1,0,1.2,20.0
145,Philadelphia 76ers,Cleveland Cavaliers,98,97,1.1333333333333333,6.25,3.2263149135805165,-4.3096922998804,1,1,1,0,1.1333333333333333,13.333333333333329
146,Indiana Pacers,Oklahoma City Thunder,111,85,1.8333333333333335,2.0,-0.8382516396313262,-5.529767726818109,1,1,1,0,1.8333333333333335,83.33333333333334
147,Miami Heat,Detroit Pistons,117,108,1.25,4.0,2.6168031631855277,-5.345550810181083,1,1,1,0,1.25,25.0
148,Chicago Bulls,New York Knicks,120,102,1.3636363636363638,3.25,-1.683908653442645,-1.3776575013818333,0,1,0,1,3.25,-100.0
149,Pheonix Suns,Los Angeles Lakers,115,123,2.42,1.606060606060606,,2.002113488571497,0,0,1,0,1.606060606060606,60.606060606060595
150,Denver Nuggets,Atlanta Hawks,121,125,1.1538461538461537,5.5,2.453386720352784,-0.9797304267208033,1,0,0,1,1.1538461538461537,-100.0
151,Utah Jazz,Brooklyn Nets,119,114,1.3333333333333333,3.4,5.444032665642926,1.5507666832269629,1,1,1,0,1.3333333333333333,33.333333333333314
152,Sacramento Kings,Portland Trailblazers,107,99,2.05,1.8,-3.442680688649372,,0,1,0,1,1.8,-100.0
153,Orlando Magic,Philadelphia 76ers,112,97,1.7692307692307692,2.1,-5.849191857264415,3.2263149135805165,0,1,0,1,2.1,-100.0
154,Charlotte Hornets,Mephis Grizzlies,117,119,1.7142857142857144,2.2,-2.6556167949067144,,0,0,1,0,2.2,120.00000000000003
155,Houston Rockets,Los Angeles Clippers,102,93,1.7407407407407407,2.15,-4.190734912751116,4.37862351620734,0,1,0,1,2.15,-100.0
156,Boston Celtics,Washington Wizards,140,133,1.3225806451612903,3.5,4.979438202404495,-3.3898110933853416,1,1,1,0,1.3225806451612903,32.258064516129025
157,Minnesota Timberwolves,San Antonio Spurs,129,114,1.8333333333333335,2.0,-1.926723951826823,-0.7090459573831968,0,1,0,1,2.0,-100.0
158,Portland Trailblazers,Toronto Raptors,106,114,1.625,2.4,,2.5734027207204195,0,0,1,0,2.4,140.0
159,Los Angeles Lakers,Golden State Warriors,120,94,1.2222222222222223,4.5,2.002113488571497,0.7095695951871412,1,1,1,0,1.2222222222222223,22.22222222222223
160,Cleveland Cavaliers,Miami Heat,97,108,2.7,1.5,-4.3096922998804,2.6168031631855277,0,0,1,0,1.5,50.0
161,Milwaukee Bucks,Chicago Bulls,124,115,1.125,6.5,5.690196176556934,-1.683908653442645,1,1,1,0,1.125,12.5
162,New York Knicks,Dallas Mavericks,106,103,3.7,1.2941176470588236,-1.3776575013818333,3.2529267441129175,0,1,0,1,1.2941176470588236,-100.0
163,New Orleans Pelicans,Los Angeles Clippers,132,127,2.6,1.526315789473684,-0.5093593018062643,4.37862351620734,0,1,0,1,1.526315789473684,-100.0
164,Pheonix Suns,Atlanta Hawks,128,112,1.2941176470588236,3.7,,-0.9797304267208033,0,1,0,1,3.7,-100.0
165,Denver Nuggets,Brooklyn Nets,101,93,1.2857142857142856,3.75,2.453386720352784,1.5507666832269629,1,1,1,0,1.2857142857142856,28.571428571428555
166,Charlotte Hornets,Detroit Pistons,109,106,2.5,1.5555555555555556,-2.6556167949067144,-5.345550810181083,1,1,1,0,2.5,150.0
167,Orlando Magic,San Antonio Spurs,111,109,1.6896551724137931,2.25,-5.849191857264415,-0.7090459573831968,0,1,0,1,2.25,-100.0
168,Minnesota Timberwolves,Washington Wizards,116,137,1.4,3.0,-1.926723951826823,-3.3898110933853416,1,0,0,1,1.4,-100.0
169,Houston Rockets,Indiana Pacers,111,102,1.3846153846153846,3.1,-4.190734912751116,-0.8382516396313262,0,1,0,1,3.1,-100.0
170,Oklahoma City Thunder,Philadelphia 76ers,127,119,2.4,1.625,-5.529767726818109,3.2263149135805165,0,1,0,1,1.625,-100.0
171,Mephis Grizzlies,Utah Jazz,107,106,3.75,1.2857142857142856,,5.444032665642926,0,1,0,1,1.2857142857142856,-100.0
172,Golden State Warriors,Boston Celtics,100,105,3.5,1.3225806451612903,0.7095695951871412,4.979438202404495,0,0,1,0,1.3225806451612903,32.258064516129025
173,Los Angeles Lakers,Sacramento Kings,99,97,1.1666666666666667,5.25,2.002113488571497,-3.442680688649372,1,1,1,0,1.1666666666666667,16.66666666666667
174,Chicago Bulls,Brooklyn Nets,111,117,1.5555555555555556,2.5,-1.683908653442645,1.5507666832269629,0,0,1,0,2.5,150.0
175,Indiana Pacers,Milwaukee Bucks,83,102,3.6,1.303030303030303,-0.8382516396313262,5.690196176556934,0,0,1,0,1.303030303030303,30.30303030303031
176,New York Knicks,Charlotte Hornets,102,103,1.5555555555555556,2.5,-1.3776575013818333,-2.6556167949067144,1,0,0,1,1.5555555555555556,-100.0
177,Minnesota Timberwolves,Houston Rockets,105,125,1.7407407407407407,2.15,-1.926723951826823,-4.190734912751116,1,0,0,1,1.7407407407407407,-100.0
178,Miami Heat,New Orleans Pelicans,109,94,1.303030303030303,3.6,2.6168031631855277,-0.5093593018062643,1,1,1,0,1.303030303030303,30.30303030303031
179,Dallas Mavericks,Toronto Raptors,110,102,1.5405405405405406,2.55,3.2529267441129175,2.5734027207204195,1,1,1,0,1.5405405405405406,54.05405405405406
180,San Antonio Spurs,Portland Trailblazers,116,121,1.7692307692307692,2.1,-0.7090459573831968,,0,0,1,0,2.1,110.0
181,Los Angeles Clippers,Atlanta Hawks,150,101,1.2,4.75,4.37862351620734,-0.9797304267208033,1,1,1,0,1.2,20.0
182,Cleveland Cavaliers,Philadelphia 76ers,95,114,3.5,1.3225806451612903,-4.3096922998804,3.2263149135805165,0,0,1,0,1.3225806451612903,32.258064516129025
183,Sacramento Kings,Boston Celtics,100,99,2.25,1.6896551724137931,-3.442680688649372,4.979438202404495,0,1,0,1,1.6896551724137931,-100.0
184,Mephis Grizzlies,Denver Nuggets,114,131,3.25,1.3636363636363638,,2.453386720352784,0,0,1,0,1.3636363636363638,36.363636363636374
