date,away,away_pts,home,home_pts
Sat Mar 7 2020,Denver Nuggets,102,Cleveland Cavaliers,104
Sat Mar 7 2020,Atlanta Hawks,101,Memphis Grizzlies,118
Sat Mar 7 2020,Philadelphia 76ers,114,Golden State Warriors,118
Sat Mar 7 2020,Sacramento Kings,123,Portland Trail Blazers,111
Sun Mar 8 2020,Chicago Bulls,107,Brooklyn Nets,110
Sun Mar 8 2020,New Orleans Pelicans,120,Minnesota Timberwolves,107
Sun Mar 8 2020,Los Angeles Lakers,112,Los Angeles Clippers,103
Sun Mar 8 2020,Oklahoma City Thunder,105,Boston Celtics,104
Sun Mar 8 2020,Milwaukee Bucks,131,Phoenix Suns,140
Sun Mar 8 2020,Miami Heat,100,Washington Wizards,89
Sun Mar 8 2020,Indiana Pacers,112,Dallas Mavericks,109
Sun Mar 8 2020,Orlando Magic,126,Houston Rockets,106
Sun Mar 8 2020,Detroit Pistons,84,New York Knicks,96
Sun Mar 8 2020,San Antonio Spurs,129,Cleveland Cavaliers,132
Sun Mar 8 2020,Toronto Raptors,118,Sacramento Kings,113
Mon Mar 9 2020,Charlotte Hornets,138,Atlanta Hawks,143
Mon Mar 9 2020,Milwaukee Bucks,95,Denver Nuggets,109
Mon Mar 9 2020,Toronto Raptors,101,Utah Jazz,92
Tue Mar 10 2020,New York Knicks,115,Washington Wizards,122
Tue Mar 10 2020,Boston Celtics,114,Indiana Pacers,111
Tue Mar 10 2020,Minnesota Timberwolves,111,Houston Rockets,117
Tue Mar 10 2020,Dallas Mavericks,109,San Antonio Spurs,119
Tue Mar 10 2020,Orlando Magic,120,Memphis Grizzlies,115
Tue Mar 10 2020,Cleveland Cavaliers,103,Chicago Bulls,108
Tue Mar 10 2020,Phoenix Suns,105,Portland Trail Blazers,121
Tue Mar 10 2020,Brooklyn Nets,104,Los Angeles Lakers,102
Tue Mar 10 2020,Los Angeles Clippers,131,Golden State Warriors,107
Wed Mar 11 2020,Detroit Pistons,106,Philadelphia 76ers,124
Wed Mar 11 2020,New York Knicks,136,Atlanta Hawks,131
Wed Mar 11 2020,Charlotte Hornets,109,Miami Heat,98
Wed Mar 11 2020,Denver Nuggets,97,Dallas Mavericks,113
Thu Jul 30 2020,Utah Jazz,106,New Orleans Pelicans,104
Thu Jul 30 2020,Los Angeles Clippers,101,Los Angeles Lakers,103
Fri Jul 31 2020,Orlando Magic,128,Brooklyn Nets,118
Fri Jul 31 2020,Memphis Grizzlies,135,Portland Trail Blazers,140
Fri Jul 31 2020,Phoenix Suns,125,Washington Wizards,112
Fri Jul 31 2020,Boston Celtics,112,Milwaukee Bucks,119
Fri Jul 31 2020,Sacramento Kings,120,San Antonio Spurs,129
Fri Jul 31 2020,Houston Rockets,153,Dallas Mavericks,149
Sat Aug 1 2020,Miami Heat,125,Denver Nuggets,105
Sat Aug 1 2020,Utah Jazz,94,Oklahoma City Thunder,110
Sat Aug 1 2020,New Orleans Pelicans,103,Los Angeles Clippers,126
Sat Aug 1 2020,Philadelphia 76ers,121,Indiana Pacers,127
Sat Aug 1 2020,Los Angeles Lakers,92,Toronto Raptors,107
Sun Aug 2 2020,Washington Wizards,110,Brooklyn Nets,118
Sun Aug 2 2020,Portland Trail Blazers,124,Boston Celtics,128
Sun Aug 2 2020,San Antonio Spurs,108,Memphis Grizzlies,106
Sun Aug 2 2020,Sacramento Kings,116,Orlando Magic,132
Sun Aug 2 2020,Milwaukee Bucks,116,Houston Rockets,120
Sun Aug 2 2020,Dallas Mavericks,115,Phoenix Suns,117
Mon Aug 3 2020,Toronto Raptors,107,Miami Heat,103
Mon Aug 3 2020,Denver Nuggets,121,Oklahoma City Thunder,113
Mon Aug 3 2020,Indiana Pacers,111,Washington Wizards,100
Mon Aug 3 2020,Memphis Grizzlies,99,New Orleans Pelicans,109
Mon Aug 3 2020,San Antonio Spurs,130,Philadelphia 76ers,132
Mon Aug 3 2020,Los Angeles Lakers,116,Utah Jazz,108
Tue Aug 4 2020,Brooklyn Nets,119,Milwaukee Bucks,116
Tue Aug 4 2020,Dallas Mavericks,114,Sacramento Kings,110
Tue Aug 4 2020,Phoenix Suns,117,Los Angeles Clippers,115
Tue Aug 4 2020,Orlando Magic,109,Indiana Pacers,120
Tue Aug 4 2020,Boston Celtics,106,Miami Heat,112
Tue Aug 4 2020,Houston Rockets,102,Portland Trail Blazers,110
Wed Aug 5 2020,Memphis Grizzlies,115,Utah Jazz,124
Wed Aug 5 2020,Denver Nuggets,132,San Antonio Spurs,126
Wed Aug 5 2020,Philadelphia 76ers,107,Washington Wizards,98
Wed Aug 5 2020,Oklahoma City Thunder,105,Los Angeles Lakers,86
Wed Aug 5 2020,Toronto Raptors,109,Orlando Magic,99
Wed Aug 5 2020,Brooklyn Nets,115,Boston Celtics,149
Thu Aug 6 2020,New Orleans Pelicans,125,Sacramento Kings,140
Thu Aug 6 2020,Miami Heat,116,Milwaukee Bucks,130
Thu Aug 6 2020,Indiana Pacers,99,Phoenix Suns,114
Thu Aug 6 2020,Los Angeles Clippers,126,Dallas Mavericks,111
Thu Aug 6 2020,Portland Trail Blazers,125,Denver Nuggets,115
Thu Aug 6 2020,Los Angeles Lakers,97,Houston Rockets,113
Fri Aug 7 2020,Utah Jazz,111,San Antonio Spurs,119
Fri Aug 7 2020,Oklahoma City Thunder,92,Memphis Grizzlies,121
Fri Aug 7 2020,Sacramento Kings,106,Brooklyn Nets,119
Fri Aug 7 2020,Orlando Magic,101,Philadelphia 76ers,108
Fri Aug 7 2020,Washington Wizards,107,New Orleans Pelicans,118
Fri Aug 7 2020,Boston Celtics,122,Toronto Raptors,100
Sat Aug 8 2020,Los Angeles Clippers,122,Portland Trail Blazers,117
Sat Aug 8 2020,Utah Jazz,132,Denver Nuggets,134
Sat Aug 8 2020,Los Angeles Lakers,111,Indiana Pacers,116
Sat Aug 8 2020,Phoenix Suns,119,Miami Heat,112
Sat Aug 8 2020,Milwaukee Bucks,132,Dallas Mavericks,136
Sun Aug 9 2020,Washington Wizards,103,Oklahoma City Thunder,121
Sun Aug 9 2020,Memphis Grizzlies,99,Toronto Raptors,108
Sun Aug 9 2020,San Antonio Spurs,122,New Orleans Pelicans,113
Sun Aug 9 2020,Orlando Magic,119,Boston Celtics,122
Sun Aug 9 2020,Philadelphia 76ers,121,Portland Trail Blazers,124
Sun Aug 9 2020,Houston Rockets,129,Sacramento Kings,112
Sun Aug 9 2020,Brooklyn Nets,129,Los Angeles Clippers,120
Mon Aug 10 2020,Oklahoma City Thunder,101,Phoenix Suns,128
Mon Aug 10 2020,Dallas Mavericks,122,Utah Jazz,114
Mon Aug 10 2020,Toronto Raptors,114,Milwaukee Bucks,106
Mon Aug 10 2020,Indiana Pacers,92,Miami Heat,114
Mon Aug 10 2020,Denver Nuggets,121,Los Angeles Lakers,124
Tue Aug 11 2020,Brooklyn Nets,108,Orlando Magic,96
Tue Aug 11 2020,Houston Rockets,105,San Antonio Spurs,123
Tue Aug 11 2020,Phoenix Suns,130,Philadelphia 76ers,117
Tue Aug 11 2020,Boston Celtics,122,Memphis Grizzlies,107
Tue Aug 11 2020,Portland Trail Blazers,134,Dallas Mavericks,131
Tue Aug 11 2020,New Orleans Pelicans,106,Sacramento Kings,112
Tue Aug 11 2020,Milwaukee Bucks,126,Washington Wizards,113
Wed Aug 12 2020,Indiana Pacers,108,Houston Rockets,104
Wed Aug 12 2020,Toronto Raptors,125,Philadelphia 76ers,121
Wed Aug 12 2020,Miami Heat,115,Oklahoma City Thunder,116
Wed Aug 12 2020,Los Angeles Clippers,124,Denver Nuggets,111
Thu Aug 13 2020,Washington Wizards,96,Boston Celtics,90
Thu Aug 13 2020,Sacramento Kings,136,Los Angeles Lakers,122
Thu Aug 13 2020,Milwaukee Bucks,106,Memphis Grizzlies,119
Thu Aug 13 2020,Dallas Mavericks,102,Phoenix Suns,128
Thu Aug 13 2020,San Antonio Spurs,112,Utah Jazz,118
Thu Aug 13 2020,Portland Trail Blazers,134,Brooklyn Nets,133
Thu Aug 13 2020,New Orleans Pelicans,127,Orlando Magic,133
Fri Aug 14 2020,Denver Nuggets,109,Toronto Raptors,117
Fri Aug 14 2020,Miami Heat,92,Indiana Pacers,109
Fri Aug 14 2020,Oklahoma City Thunder,103,Los Angeles Clippers,107
Fri Aug 14 2020,Philadelphia 76ers,134,Houston Rockets,96
Sat Aug 15 2020,Memphis Grizzlies,122,Portland Trail Blazers,126
Mon Aug 17 2020,Utah Jazz,125,Denver Nuggets,135
Mon Aug 17 2020,Brooklyn Nets,110,Toronto Raptors,134
Mon Aug 17 2020,Philadelphia 76ers,101,Boston Celtics,109
Mon Aug 17 2020,Dallas Mavericks,110,Los Angeles Clippers,118
Tue Aug 18 2020,Orlando Magic,122,Milwaukee Bucks,110
Tue Aug 18 2020,Miami Heat,113,Indiana Pacers,101
Tue Aug 18 2020,Oklahoma City Thunder,108,Houston Rockets,123
Tue Aug 18 2020,Portland Trail Blazers,100,Los Angeles Lakers,93
Wed Aug 19 2020,Brooklyn Nets,99,Toronto Raptors,104
Wed Aug 19 2020,Utah Jazz,124,Denver Nuggets,105
Wed Aug 19 2020,Philadelphia 76ers,101,Boston Celtics,128
Wed Aug 19 2020,Dallas Mavericks,127,Los Angeles Clippers,114
Thu Aug 20 2020,Miami Heat,109,Indiana Pacers,100
Thu Aug 20 2020,Oklahoma City Thunder,98,Houston Rockets,111
Thu Aug 20 2020,Orlando Magic,96,Milwaukee Bucks,111
Thu Aug 20 2020,Portland Trail Blazers,88,Los Angeles Lakers,111
Fri Aug 21 2020,Toronto Raptors,117,Brooklyn Nets,92
Fri Aug 21 2020,Denver Nuggets,87,Utah Jazz,124
Fri Aug 21 2020,Boston Celtics,102,Philadelphia 76ers,94
Fri Aug 21 2020,Los Angeles Clippers,130,Dallas Mavericks,122
Sat Aug 22 2020,Milwaukee Bucks,121,Orlando Magic,107
Sat Aug 22 2020,Indiana Pacers,115,Miami Heat,124
Sat Aug 22 2020,Houston Rockets,107,Oklahoma City Thunder,119
Sat Aug 22 2020,Los Angeles Lakers,116,Portland Trail Blazers,108
Sun Aug 23 2020,Boston Celtics,110,Philadelphia 76ers,106
Sun Aug 23 2020,Los Angeles Clippers,133,Dallas Mavericks,135
Sun Aug 23 2020,Toronto Raptors,150,Brooklyn Nets,122
Sun Aug 23 2020,Denver Nuggets,127,Utah Jazz,129
Mon Aug 24 2020,Milwaukee Bucks,121,Orlando Magic,106
Mon Aug 24 2020,Houston Rockets,114,Oklahoma City Thunder,117
Mon Aug 24 2020,Indiana Pacers,87,Miami Heat,99
Mon Aug 24 2020,Los Angeles Lakers,135,Portland Trail Blazers,115
Tue Aug 25 2020,Utah Jazz,107,Denver Nuggets,117
Tue Aug 25 2020,Dallas Mavericks,111,Los Angeles Clippers,154
Sat Aug 29 2020,Orlando Magic,104,Milwaukee Bucks,118
Sat Aug 29 2020,Oklahoma City Thunder,80,Houston Rockets,114
Sat Aug 29 2020,Portland Trail Blazers,122,Los Angeles Lakers,131
Sun Aug 30 2020,Boston Celtics,112,Toronto Raptors,94
Sun Aug 30 2020,Los Angeles Clippers,111,Dallas Mavericks,97
Sun Aug 30 2020,Denver Nuggets,119,Utah Jazz,107
Mon Aug 31 2020,Miami Heat,115,Milwaukee Bucks,104
Mon Aug 31 2020,Houston Rockets,100,Oklahoma City Thunder,104
Tue Sep 1 2020,Boston Celtics,102,Toronto Raptors,99
Tue Sep 1 2020,Utah Jazz,78,Denver Nuggets,80
Wed Sep 2 2020,Miami Heat,116,Milwaukee Bucks,114
Wed Sep 2 2020,Oklahoma City Thunder,102,Houston Rockets,104
Thu Sep 3 2020,Toronto Raptors,104,Boston Celtics,103
Thu Sep 3 2020,Denver Nuggets,97,Los Angeles Clippers,120
Fri Sep 4 2020,Milwaukee Bucks,100,Miami Heat,115
Fri Sep 4 2020,Houston Rockets,112,Los Angeles Lakers,97
Sat Sep 5 2020,Toronto Raptors,100,Boston Celtics,93
Sat Sep 5 2020,Denver Nuggets,110,Los Angeles Clippers,101
Sun Sep 6 2020,Milwaukee Bucks,118,Miami Heat,115
Sun Sep 6 2020,Houston Rockets,109,Los Angeles Lakers,117
Mon Sep 7 2020,Boston Celtics,111,Toronto Raptors,89
Mon Sep 7 2020,Los Angeles Clippers,113,Denver Nuggets,107
Tue Sep 8 2020,Miami Heat,103,Milwaukee Bucks,94
Tue Sep 8 2020,Los Angeles Lakers,112,Houston Rockets,102
Wed Sep 9 2020,Toronto Raptors,125,Boston Celtics,122
Wed Sep 9 2020,Los Angeles Clippers,96,Denver Nuggets,85
Thu Sep 10 2020,Los Angeles Lakers,110,Houston Rockets,100
Fri Sep 11 2020,Denver Nuggets,111,Los Angeles Clippers,105
Fri Sep 11 2020,Boston Celtics,92,Toronto Raptors,87
Sat Sep 12 2020,Houston Rockets,96,Los Angeles Lakers,119
Sun Sep 13 2020,Los Angeles Clippers,98,Denver Nuggets,111
Tue Sep 15 2020,Miami Heat,117,Boston Celtics,114
Tue Sep 15 2020,Denver Nuggets,104,Los Angeles Clippers,89
Thu Sep 17 2020,Miami Heat,106,Boston Celtics,101
Fri Sep 18 2020,Denver Nuggets,114,Los Angeles Lakers,126
Sat Sep 19 2020,Boston Celtics,117,Miami Heat,106
Sun Sep 20 2020,Denver Nuggets,103,Los Angeles Lakers,105
Tue Sep 22 2020,Los Angeles Lakers,106,Denver Nuggets,114
Wed Sep 23 2020,Boston Celtics,109,Miami Heat,112
Thu Sep 24 2020,Los Angeles Lakers,114,Denver Nuggets,108
Fri Sep 25 2020,Miami Heat,108,Boston Celtics,121
Sat Sep 26 2020,Denver Nuggets,107,Los Angeles Lakers,117
Sun Sep 27 2020,Boston Celtics,113,Miami Heat,125
Wed Sep 30 2020,Miami Heat,98,Los Angeles Lakers,116
Fri Oct 2 2020,Miami Heat,114,Los Angeles Lakers,124
Sun Oct 4 2020,Los Angeles Lakers,104,Miami Heat,115
Tue Oct 6 2020,Los Angeles Lakers,102,Miami Heat,96
Fri Oct 9 2020,Miami Heat,111,Los Angeles Lakers,108
Sun Oct 11 2020,Los Angeles Lakers,106,Miami Heat,93
Tue Dec 22 2020,Golden State Warriors,99,Brooklyn Nets,125
Tue Dec 22 2020,Los Angeles Clippers,116,Los Angeles Lakers,109
Wed Dec 23 2020,Charlotte Hornets,114,Cleveland Cavaliers,121
Wed Dec 23 2020,New York Knicks,107,Indiana Pacers,121
Wed Dec 23 2020,Miami Heat,107,Orlando Magic,113
Wed Dec 23 2020,Washington Wizards,107,Philadelphia 76ers,113
Wed Dec 23 2020,New Orleans Pelicans,113,Toronto Raptors,99
Wed Dec 23 2020,Milwaukee Bucks,121,Boston Celtics,122
Wed Dec 23 2020,Atlanta Hawks,124,Chicago Bulls,104
Wed Dec 23 2020,San Antonio Spurs,131,Memphis Grizzlies,119
Wed Dec 23 2020,Detroit Pistons,101,Minnesota Timberwolves,111
Wed Dec 23 2020,Sacramento Kings,124,Denver Nuggets,122
Wed Dec 23 2020,Utah Jazz,120,Portland Trail Blazers,100
Wed Dec 23 2020,Dallas Mavericks,102,Phoenix Suns,106
Fri Dec 25 2020,New Orleans Pelicans,98,Miami Heat,111
Fri Dec 25 2020,Golden State Warriors,99,Milwaukee Bucks,138
Fri Dec 25 2020,Brooklyn Nets,123,Boston Celtics,95
Fri Dec 25 2020,Dallas Mavericks,115,Los Angeles Lakers,138
Fri Dec 25 2020,Los Angeles Clippers,121,Denver Nuggets,108
Sat Dec 26 2020,Atlanta Hawks,122,Memphis Grizzlies,112
Sat Dec 26 2020,Oklahoma City Thunder,109,Charlotte Hornets,107
Sat Dec 26 2020,Cleveland Cavaliers,128,Detroit Pistons,119
Sat Dec 26 2020,Orlando Magic,130,Washington Wizards,120
Sat Dec 26 2020,Philadelphia 76ers,109,New York Knicks,89
Sat Dec 26 2020,Indiana Pacers,125,Chicago Bulls,106
Sat Dec 26 2020,Toronto Raptors,114,San Antonio Spurs,119
Sat Dec 26 2020,Minnesota Timberwolves,116,Utah Jazz,111
Sat Dec 26 2020,Houston Rockets,126,Portland Trail Blazers,128
Sat Dec 26 2020,Phoenix Suns,103,Sacramento Kings,106
Sun Dec 27 2020,Dallas Mavericks,124,Los Angeles Clippers,73
Sun Dec 27 2020,San Antonio Spurs,95,New Orleans Pelicans,98
Sun Dec 27 2020,Orlando Magic,120,Washington Wizards,113
Sun Dec 27 2020,Brooklyn Nets,104,Charlotte Hornets,106
Sun Dec 27 2020,Philadelphia 76ers,94,Cleveland Cavaliers,118
Sun Dec 27 2020,Milwaukee Bucks,110,New York Knicks,130
Sun Dec 27 2020,Boston Celtics,107,Indiana Pacers,108
Sun Dec 27 2020,Golden State Warriors,129,Chicago Bulls,128
Sun Dec 27 2020,Phoenix Suns,116,Sacramento Kings,100
Sun Dec 27 2020,Minnesota Timberwolves,91,Los Angeles Lakers,127
Mon Dec 28 2020,Memphis Grizzlies,116,Brooklyn Nets,111
Mon Dec 28 2020,Detroit Pistons,120,Atlanta Hawks,128
Mon Dec 28 2020,Utah Jazz,110,Oklahoma City Thunder,109
Mon Dec 28 2020,Houston Rockets,111,Denver Nuggets,124
Mon Dec 28 2020,Portland Trail Blazers,115,Los Angeles Lakers,107
Tue Dec 29 2020,New York Knicks,95,Cleveland Cavaliers,86
Tue Dec 29 2020,Golden State Warriors,116,Detroit Pistons,106
Tue Dec 29 2020,Boston Celtics,116,Indiana Pacers,111
Tue Dec 29 2020,Chicago Bulls,115,Washington Wizards,107
Tue Dec 29 2020,Toronto Raptors,93,Philadelphia 76ers,100
Tue Dec 29 2020,Milwaukee Bucks,144,Miami Heat,97
Tue Dec 29 2020,Orlando Magic,118,Oklahoma City Thunder,107
Tue Dec 29 2020,New Orleans Pelicans,86,Phoenix Suns,111
Tue Dec 29 2020,Denver Nuggets,115,Sacramento Kings,125
Tue Dec 29 2020,Minnesota Timberwolves,101,Los Angeles Clippers,124
Wed Dec 30 2020,Milwaukee Bucks,108,Miami Heat,119
Wed Dec 30 2020,Atlanta Hawks,141,Brooklyn Nets,145
Wed Dec 30 2020,Memphis Grizzlies,107,Boston Celtics,126
Wed Dec 30 2020,Charlotte Hornets,118,Dallas Mavericks,99
Wed Dec 30 2020,Los Angeles Lakers,121,San Antonio Spurs,107
Wed Dec 30 2020,Portland Trail Blazers,105,Los Angeles Clippers,128
Thu Dec 31 2020,Cleveland Cavaliers,99,Indiana Pacers,119
Thu Dec 31 2020,Chicago Bulls,133,Washington Wizards,130
Thu Dec 31 2020,Philadelphia 76ers,116,Orlando Magic,92
Thu Dec 31 2020,Sacramento Kings,119,Houston Rockets,122
Thu Dec 31 2020,New York Knicks,83,Toronto Raptors,100
Thu Dec 31 2020,New Orleans Pelicans,113,Oklahoma City Thunder,80
Thu Dec 31 2020,Phoenix Suns,106,Utah Jazz,95
Fri Jan 1 2021,Memphis Grizzlies,108,Charlotte Hornets,93
Fri Jan 1 2021,Miami Heat,83,Dallas Mavericks,93
Fri Jan 1 2021,Boston Celtics,93,Detroit Pistons,96
Fri Jan 1 2021,Atlanta Hawks,114,Brooklyn Nets,96
Fri Jan 1 2021,Chicago Bulls,96,Milwaukee Bucks,126
Fri Jan 1 2021,Washington Wizards,130,Minnesota Timberwolves,109
Fri Jan 1 2021,Los Angeles Lakers,109,San Antonio Spurs,103
Fri Jan 1 2021,Phoenix Suns,106,Denver Nuggets,103
Fri Jan 1 2021,Los Angeles Clippers,100,Utah Jazz,106
Fri Jan 1 2021,Portland Trail Blazers,123,Golden State Warriors,98
Sat Jan 2 2021,Sacramento Kings,94,Houston Rockets,102
Sat Jan 2 2021,New York Knicks,106,Indiana Pacers,102
Sat Jan 2 2021,Oklahoma City Thunder,108,Orlando Magic,99
Sat Jan 2 2021,Charlotte Hornets,112,Philadelphia 76ers,127
Sat Jan 2 2021,Cleveland Cavaliers,96,Atlanta Hawks,91
Sat Jan 2 2021,Toronto Raptors,116,New Orleans Pelicans,120
Sun Jan 3 2021,Boston Celtics,122,Detroit Pistons,120
Sun Jan 3 2021,Washington Wizards,123,Brooklyn Nets,122
Sun Jan 3 2021,Los Angeles Lakers,108,Memphis Grizzlies,94
Sun Jan 3 2021,Denver Nuggets,124,Minnesota Timberwolves,109
Sun Jan 3 2021,Utah Jazz,130,San Antonio Spurs,109
Sun Jan 3 2021,Dallas Mavericks,108,Chicago Bulls,118
Sun Jan 3 2021,Los Angeles Clippers,112,Phoenix Suns,107
Sun Jan 3 2021,Portland Trail Blazers,122,Golden State Warriors,137
Mon Jan 4 2021,Cleveland Cavaliers,83,Orlando Magic,103
Mon Jan 4 2021,Charlotte Hornets,101,Philadelphia 76ers,118
Mon Jan 4 2021,New York Knicks,113,Atlanta Hawks,108
Mon Jan 4 2021,Oklahoma City Thunder,90,Miami Heat,118
Mon Jan 4 2021,Boston Celtics,126,Toronto Raptors,114
Mon Jan 4 2021,Dallas Mavericks,113,Houston Rockets,100
Mon Jan 4 2021,Detroit Pistons,115,Milwaukee Bucks,125
Mon Jan 4 2021,Indiana Pacers,118,New Orleans Pelicans,116
Mon Jan 4 2021,Sacramento Kings,106,Golden State Warriors,137
Tue Jan 5 2021,Utah Jazz,96,Brooklyn Nets,130
Tue Jan 5 2021,Los Angeles Lakers,94,Memphis Grizzlies,92
Tue Jan 5 2021,Minnesota Timberwolves,116,Denver Nuggets,123
Tue Jan 5 2021,San Antonio Spurs,116,Los Angeles Clippers,113
Tue Jan 5 2021,Chicago Bulls,111,Portland Trail Blazers,108
Wed Jan 6 2021,Houston Rockets,107,Indiana Pacers,114
Wed Jan 6 2021,Cleveland Cavaliers,94,Orlando Magic,105
Wed Jan 6 2021,Washington Wizards,136,Philadelphia 76ers,141
Wed Jan 6 2021,Charlotte Hornets,102,Atlanta Hawks,94
Wed Jan 6 2021,Boston Celtics,107,Miami Heat,105
Wed Jan 6 2021,Utah Jazz,100,New York Knicks,112
Wed Jan 6 2021,Detroit Pistons,115,Milwaukee Bucks,130
Wed Jan 6 2021,Oklahoma City Thunder,111,New Orleans Pelicans,110
Wed Jan 6 2021,Toronto Raptors,115,Phoenix Suns,123
Wed Jan 6 2021,Los Angeles Clippers,108,Golden State Warriors,101
Wed Jan 6 2021,Chicago Bulls,124,Sacramento Kings,128
Thu Jan 7 2021,Philadelphia 76ers,109,Brooklyn Nets,122
Thu Jan 7 2021,Cleveland Cavaliers,94,Memphis Grizzlies,90
Thu Jan 7 2021,Dallas Mavericks,124,Denver Nuggets,117
Thu Jan 7 2021,San Antonio Spurs,118,Los Angeles Lakers,109
Thu Jan 7 2021,Minnesota Timberwolves,117,Portland Trail Blazers,135
Fri Jan 8 2021,Phoenix Suns,105,Detroit Pistons,110
Fri Jan 8 2021,Washington Wizards,107,Boston Celtics,116
Fri Jan 8 2021,Charlotte Hornets,118,New Orleans Pelicans,110
Fri Jan 8 2021,Oklahoma City Thunder,101,New York Knicks,89
Fri Jan 8 2021,Orlando Magic,90,Houston Rockets,132
Fri Jan 8 2021,Brooklyn Nets,110,Memphis Grizzlies,115
Fri Jan 8 2021,Utah Jazz,131,Milwaukee Bucks,118
Fri Jan 8 2021,Los Angeles Clippers,105,Golden State Warriors,115
Fri Jan 8 2021,Chicago Bulls,115,Los Angeles Lakers,117
Fri Jan 8 2021,Toronto Raptors,144,Sacramento Kings,123
Sat Jan 9 2021,Denver Nuggets,115,Philadelphia 76ers,103
Sat Jan 9 2021,Atlanta Hawks,105,Charlotte Hornets,113
Sat Jan 9 2021,Phoenix Suns,125,Indiana Pacers,117
Sat Jan 9 2021,Miami Heat,128,Washington Wizards,124
Sat Jan 9 2021,Cleveland Cavaliers,90,Milwaukee Bucks,100
Sat Jan 9 2021,San Antonio Spurs,125,Minnesota Timberwolves,122
Sat Jan 9 2021,Orlando Magic,98,Dallas Mavericks,112
Sat Jan 9 2021,Portland Trail Blazers,125,Sacramento Kings,99
Sun Jan 10 2021,Utah Jazz,96,Detroit Pistons,86
Sun Jan 10 2021,Chicago Bulls,127,Los Angeles Clippers,130
Sun Jan 10 2021,Oklahoma City Thunder,129,Brooklyn Nets,116
Sun Jan 10 2021,Denver Nuggets,114,New York Knicks,89
Sun Jan 10 2021,Los Angeles Lakers,120,Houston Rockets,102
Sun Jan 10 2021,San Antonio Spurs,88,Minnesota Timberwolves,96
Sun Jan 10 2021,Toronto Raptors,105,Golden State Warriors,106
Mon Jan 11 2021,New York Knicks,88,Charlotte Hornets,109
Mon Jan 11 2021,Memphis Grizzlies,101,Cleveland Cavaliers,91
Mon Jan 11 2021,Milwaukee Bucks,121,Orlando Magic,99
Mon Jan 11 2021,Phoenix Suns,107,Washington Wizards,128
Mon Jan 11 2021,Philadelphia 76ers,94,Atlanta Hawks,112
Mon Jan 11 2021,Toronto Raptors,111,Portland Trail Blazers,112
Mon Jan 11 2021,Indiana Pacers,122,Sacramento Kings,127
Tue Jan 12 2021,Miami Heat,134,Philadelphia 76ers,137
Tue Jan 12 2021,Denver Nuggets,116,Brooklyn Nets,122
Tue Jan 12 2021,Utah Jazz,117,Cleveland Cavaliers,87
Tue Jan 12 2021,Los Angeles Lakers,117,Houston Rockets,100
Tue Jan 12 2021,San Antonio Spurs,112,Oklahoma City Thunder,102
Tue Jan 12 2021,Indiana Pacers,104,Golden State Warriors,95
Wed Jan 13 2021,Dallas Mavericks,104,Charlotte Hornets,93
Wed Jan 13 2021,Milwaukee Bucks,110,Detroit Pistons,101
Wed Jan 13 2021,Brooklyn Nets,116,New York Knicks,109
Wed Jan 13 2021,Memphis Grizzlies,118,Minnesota Timberwolves,107
Wed Jan 13 2021,Los Angeles Lakers,128,Oklahoma City Thunder,99
Wed Jan 13 2021,New Orleans Pelicans,106,Los Angeles Clippers,111
Wed Jan 13 2021,Portland Trail Blazers,132,Sacramento Kings,126
Thu Jan 14 2021,Miami Heat,108,Philadelphia 76ers,125
Thu Jan 14 2021,Houston Rockets,109,San Antonio Spurs,105
Thu Jan 14 2021,Charlotte Hornets,108,Toronto Raptors,111
Thu Jan 14 2021,Golden State Warriors,104,Denver Nuggets,114
Thu Jan 14 2021,Indiana Pacers,111,Portland Trail Blazers,87
Fri Jan 15 2021,Orlando Magic,97,Boston Celtics,124
Fri Jan 15 2021,New York Knicks,103,Cleveland Cavaliers,106
Fri Jan 15 2021,Dallas Mavericks,109,Milwaukee Bucks,112
Fri Jan 15 2021,Chicago Bulls,125,Oklahoma City Thunder,127
Fri Jan 15 2021,Atlanta Hawks,92,Utah Jazz,116
Fri Jan 15 2021,New Orleans Pelicans,95,Los Angeles Lakers,112
Fri Jan 15 2021,Los Angeles Clippers,138,Sacramento Kings,100
Sat Jan 16 2021,Houston Rockets,91,San Antonio Spurs,103
Sat Jan 16 2021,Orlando Magic,115,Brooklyn Nets,122
Sat Jan 16 2021,Charlotte Hornets,113,Toronto Raptors,116
Sat Jan 16 2021,Philadelphia 76ers,104,Memphis Grizzlies,106
Sat Jan 16 2021,Detroit Pistons,120,Miami Heat,100
Sat Jan 16 2021,Atlanta Hawks,106,Portland Trail Blazers,112
Sun Jan 17 2021,New York Knicks,105,Boston Celtics,75
Sun Jan 17 2021,Chicago Bulls,117,Dallas Mavericks,101
Sun Jan 17 2021,Utah Jazz,109,Denver Nuggets,105
Sun Jan 17 2021,New Orleans Pelicans,128,Sacramento Kings,123
Sun Jan 17 2021,Indiana Pacers,96,Los Angeles Clippers,129
Mon Jan 18 2021,Orlando Magic,84,New York Knicks,91
Mon Jan 18 2021,Minnesota Timberwolves,97,Atlanta Hawks,108
Mon Jan 18 2021,San Antonio Spurs,125,Portland Trail Blazers,104
Mon Jan 18 2021,Phoenix Suns,104,Memphis Grizzlies,108
Mon Jan 18 2021,Milwaukee Bucks,123,Brooklyn Nets,125
