,date,away,away_pts,home,home_pts,pt_diff,home_win,home_loss
297,2019-12-02,Chicago Bulls,113,Sacramento Kings,106,-7,0,1
298,2019-12-03,Detroit Pistons,127,Cleveland Cavaliers,94,-33,0,1
299,2019-12-03,Orlando Magic,127,Washington Wizards,120,-7,0,1
300,2019-12-03,Dallas Mavericks,118,New Orleans Pelicans,97,-21,0,1
301,2019-12-03,Miami Heat,121,Toronto Raptors,110,-11,0,1
302,2019-12-03,Houston Rockets,133,San Antonio Spurs,135,2,1,0
303,2019-12-03,Los Angeles Lakers,105,Denver Nuggets,96,-9,0,1
304,2019-12-03,Portland Trail Blazers,97,Los Angeles Clippers,117,20,1,0
305,2019-12-04,Golden State Warriors,91,Charlotte Hornets,106,15,1,0
306,2019-12-04,Milwaukee Bucks,127,Detroit Pistons,103,-24,0,1
307,2019-12-04,Phoenix Suns,114,Orlando Magic,128,14,1,0
308,2019-12-04,Brooklyn Nets,130,Atlanta Hawks,118,-12,0,1
309,2019-12-04,Miami Heat,93,Boston Celtics,112,19,1,0
310,2019-12-04,Memphis Grizzlies,99,Chicago Bulls,106,7,1,0
311,2019-12-04,Indiana Pacers,107,Oklahoma City Thunder,100,-7,0,1
312,2019-12-04,Minnesota Timberwolves,114,Dallas Mavericks,121,7,1,0
313,2019-12-04,Los Angeles Lakers,121,Utah Jazz,96,-25,0,1
314,2019-12-04,Sacramento Kings,116,Portland Trail Blazers,127,11,1,0
315,2019-12-05,Philadelphia 76ers,113,Washington Wizards,119,6,1,0
316,2019-12-05,Denver Nuggets,129,New York Knicks,92,-37,0,1
317,2019-12-05,Houston Rockets,119,Toronto Raptors,109,-10,0,1
318,2019-12-05,Phoenix Suns,139,New Orleans Pelicans,132,-7,0,1
319,2019-12-06,Brooklyn Nets,111,Charlotte Hornets,104,-7,0,1
320,2019-12-06,Orlando Magic,93,Cleveland Cavaliers,87,-6,0,1
321,2019-12-06,Indiana Pacers,101,Detroit Pistons,108,7,1,0
322,2019-12-06,Denver Nuggets,95,Boston Celtics,108,13,1,0
323,2019-12-06,Golden State Warriors,100,Chicago Bulls,98,-2,0,1
324,2019-12-06,Washington Wizards,103,Miami Heat,112,9,1,0
325,2019-12-06,Minnesota Timberwolves,127,Oklahoma City Thunder,139,12,1,0
326,2019-12-06,Los Angeles Clippers,91,Milwaukee Bucks,119,28,1,0
327,2019-12-06,Sacramento Kings,104,San Antonio Spurs,105,1,1,0
328,2019-12-06,Los Angeles Lakers,136,Portland Trail Blazers,113,-23,0,1
329,2019-12-07,New Orleans Pelicans,84,Dallas Mavericks,130,46,1,0
330,2019-12-07,Indiana Pacers,104,New York Knicks,103,-1,0,1
331,2019-12-07,Cleveland Cavaliers,94,Philadelphia 76ers,141,47,1,0
332,2019-12-07,Phoenix Suns,109,Houston Rockets,115,6,1,0
333,2019-12-07,Memphis Grizzlies,112,Utah Jazz,126,14,1,0
334,2019-12-08,Denver Nuggets,102,Brooklyn Nets,105,3,1,0
335,2019-12-08,Atlanta Hawks,122,Charlotte Hornets,107,-15,0,1
