,date,away,away_pts,home,home_pts,pt_diff,home_win,home_loss
773,2020-02-07,Miami Heat,97,Sacramento Kings,105,8,1,0
774,2020-02-07,Portland Trail Blazers,114,Utah Jazz,117,3,1,0
775,2020-02-08,Milwaukee Bucks,111,Orlando Magic,95,-16,0,1
776,2020-02-08,Dallas Mavericks,116,Charlotte Hornets,100,-16,0,1
777,2020-02-08,New York Knicks,95,Detroit Pistons,92,-3,0,1
778,2020-02-08,New Orleans Pelicans,124,Indiana Pacers,117,-7,0,1
779,2020-02-08,Brooklyn Nets,118,Toronto Raptors,119,1,1,0
780,2020-02-08,Los Angeles Clippers,115,Minnesota Timberwolves,142,27,1,0
781,2020-02-08,Los Angeles Lakers,125,Golden State Warriors,120,-5,0,1
782,2020-02-08,Denver Nuggets,117,Phoenix Suns,108,-9,0,1
783,2020-02-08,San Antonio Spurs,102,Sacramento Kings,122,20,1,0
784,2020-02-09,Boston Celtics,112,Oklahoma City Thunder,111,-1,0,1
785,2020-02-09,New York Knicks,135,Atlanta Hawks,140,5,1,0
786,2020-02-09,Chicago Bulls,111,Philadelphia 76ers,118,7,1,0
787,2020-02-09,Memphis Grizzlies,106,Washington Wizards,99,-7,0,1
788,2020-02-09,Utah Jazz,114,Houston Rockets,113,-1,0,1
789,2020-02-09,Los Angeles Clippers,133,Cleveland Cavaliers,92,-41,0,1
790,2020-02-09,Miami Heat,109,Portland Trail Blazers,115,6,1,0
791,2020-02-10,Charlotte Hornets,87,Detroit Pistons,76,-11,0,1
792,2020-02-10,Brooklyn Nets,106,Indiana Pacers,105,-1,0,1
793,2020-02-10,Atlanta Hawks,126,Orlando Magic,135,9,1,0
794,2020-02-10,Minnesota Timberwolves,126,Toronto Raptors,137,11,1,0
795,2020-02-10,Sacramento Kings,111,Milwaukee Bucks,123,12,1,0
796,2020-02-10,Utah Jazz,123,Dallas Mavericks,119,-4,0,1
797,2020-02-10,San Antonio Spurs,120,Denver Nuggets,127,7,1,0
798,2020-02-10,Miami Heat,113,Golden State Warriors,101,-12,0,1
799,2020-02-10,Phoenix Suns,100,Los Angeles Lakers,125,25,1,0
800,2020-02-11,Los Angeles Clippers,103,Philadelphia 76ers,110,7,1,0
801,2020-02-11,Chicago Bulls,114,Washington Wizards,126,12,1,0
802,2020-02-11,Portland Trail Blazers,117,New Orleans Pelicans,138,21,1,0
803,2020-02-11,San Antonio Spurs,114,Oklahoma City Thunder,106,-8,0,1
804,2020-02-11,Boston Celtics,105,Houston Rockets,116,11,1,0
805,2020-02-12,Atlanta Hawks,105,Cleveland Cavaliers,127,22,1,0
806,2020-02-12,Detroit Pistons,112,Orlando Magic,116,4,1,0
807,2020-02-12,Toronto Raptors,91,Brooklyn Nets,101,10,1,0
808,2020-02-12,Milwaukee Bucks,111,Indiana Pacers,118,7,1,0
809,2020-02-12,Washington Wizards,114,New York Knicks,96,-18,0,1
810,2020-02-12,Portland Trail Blazers,104,Memphis Grizzlies,111,7,1,0
811,2020-02-12,Charlotte Hornets,115,Minnesota Timberwolves,108,-7,0,1
812,2020-02-12,Sacramento Kings,111,Dallas Mavericks,130,19,1,0
813,2020-02-12,Golden State Warriors,106,Phoenix Suns,112,6,1,0
814,2020-02-12,Miami Heat,101,Utah Jazz,116,15,1,0
815,2020-02-12,Los Angeles Lakers,120,Denver Nuggets,116,-4,0,1
816,2020-02-13,Los Angeles Clippers,133,Boston Celtics,141,8,1,0
817,2020-02-13,Oklahoma City Thunder,123,New Orleans Pelicans,118,-5,0,1
818,2020-02-20,Milwaukee Bucks,126,Detroit Pistons,106,-20,0,1
819,2020-02-20,Miami Heat,124,Atlanta Hawks,129,5,1,0
820,2020-02-20,Charlotte Hornets,103,Chicago Bulls,93,-10,0,1
821,2020-02-20,Brooklyn Nets,104,Philadelphia 76ers,112,8,1,0
822,2020-02-20,Memphis Grizzlies,125,Sacramento Kings,129,4,1,0
823,2020-02-20,Houston Rockets,135,Golden State Warriors,105,-30,0,1
824,2020-02-21,Dallas Mavericks,122,Orlando Magic,106,-16,0,1
825,2020-02-21,Cleveland Cavaliers,113,Washington Wizards,108,-5,0,1
826,2020-02-21,Indiana Pacers,106,New York Knicks,98,-8,0,1
827,2020-02-21,Phoenix Suns,101,Toronto Raptors,118,17,1,0
828,2020-02-21,Boston Celtics,127,Minnesota Timberwolves,117,-10,0,1
829,2020-02-21,Denver Nuggets,101,Oklahoma City Thunder,113,12,1,0
830,2020-02-21,San Antonio Spurs,113,Utah Jazz,104,-9,0,1
831,2020-02-21,Memphis Grizzlies,105,Los Angeles Lakers,117,12,1,0
832,2020-02-21,New Orleans Pelicans,128,Portland Trail Blazers,115,-13,0,1
833,2020-02-22,Sacramento Kings,112,Los Angeles Clippers,103,-9,0,1
834,2020-02-22,Brooklyn Nets,115,Charlotte Hornets,86,-29,0,1
835,2020-02-22,Dallas Mavericks,107,Atlanta Hawks,111,4,1,0
836,2020-02-22,Phoenix Suns,112,Chicago Bulls,104,-8,0,1
837,2020-02-22,Cleveland Cavaliers,105,Miami Heat,124,19,1,0
838,2020-02-22,Philadelphia 76ers,98,Milwaukee Bucks,119,21,1,0
839,2020-02-22,Houston Rockets,120,Utah Jazz,110,-10,0,1
840,2020-02-23,Boston Celtics,112,Los Angeles Lakers,114,2,1,0
841,2020-02-23,Minnesota Timberwolves,116,Denver Nuggets,128,12,1,0
842,2020-02-23,Indiana Pacers,81,Toronto Raptors,127,46,1,0
843,2020-02-23,Washington Wizards,117,Chicago Bulls,126,9,1,0
844,2020-02-23,San Antonio Spurs,103,Oklahoma City Thunder,131,28,1,0
845,2020-02-23,New Orleans Pelicans,115,Golden State Warriors,101,-14,0,1
846,2020-02-23,Detroit Pistons,104,Portland Trail Blazers,107,3,1,0
847,2020-02-24,Miami Heat,119,Cleveland Cavaliers,125,6,1,0
848,2020-02-24,Atlanta Hawks,112,Philadelphia 76ers,129,17,1,0
849,2020-02-24,Milwaukee Bucks,137,Washington Wizards,134,-3,0,1
850,2020-02-24,Orlando Magic,115,Brooklyn Nets,113,-2,0,1
851,2020-02-24,New York Knicks,112,Houston Rockets,123,11,1,0
852,2020-02-24,Minnesota Timberwolves,123,Dallas Mavericks,139,16,1,0
853,2020-02-24,Phoenix Suns,131,Utah Jazz,111,-20,0,1
854,2020-02-24,Memphis Grizzlies,97,Los Angeles Clippers,124,27,1,0
855,2020-02-25,Charlotte Hornets,80,Indiana Pacers,119,39,1,0
856,2020-02-25,Milwaukee Bucks,108,Toronto Raptors,97,-11,0,1
857,2020-02-25,Oklahoma City Thunder,124,Chicago Bulls,122,-2,0,1
858,2020-02-25,Detroit Pistons,98,Denver Nuggets,115,17,1,0
859,2020-02-25,New Orleans Pelicans,109,Los Angeles Lakers,118,9,1,0
860,2020-02-25,Boston Celtics,118,Portland Trail Blazers,106,-12,0,1
861,2020-02-25,Sacramento Kings,112,Golden State Warriors,94,-18,0,1
862,2020-02-26,New York Knicks,101,Charlotte Hornets,107,6,1,0
863,2020-02-26,Philadelphia 76ers,94,Cleveland Cavaliers,108,14,1,0
864,2020-02-26,Brooklyn Nets,106,Washington Wizards,110,4,1,0
865,2020-02-26,Orlando Magic,130,Atlanta Hawks,120,-10,0,1
866,2020-02-26,Minnesota Timberwolves,129,Miami Heat,126,-3,0,1
867,2020-02-26,Memphis Grizzlies,112,Houston Rockets,140,28,1,0
868,2020-02-26,Dallas Mavericks,109,San Antonio Spurs,103,-6,0,1
869,2020-02-26,Los Angeles Clippers,102,Phoenix Suns,92,-10,0,1
870,2020-02-26,Boston Celtics,114,Utah Jazz,103,-11,0,1
871,2020-02-27,New York Knicks,106,Philadelphia 76ers,115,9,1,0
872,2020-02-27,Portland Trail Blazers,100,Indiana Pacers,106,6,1,0
873,2020-02-27,Sacramento Kings,108,Oklahoma City Thunder,112,4,1,0
874,2020-02-27,Los Angeles Lakers,116,Golden State Warriors,86,-30,0,1
875,2020-02-28,Minnesota Timberwolves,125,Orlando Magic,136,11,1,0
876,2020-02-28,Brooklyn Nets,118,Atlanta Hawks,141,23,1,0
877,2020-02-28,Charlotte Hornets,99,Toronto Raptors,96,-3,0,1
878,2020-02-28,Sacramento Kings,104,Memphis Grizzlies,101,-3,0,1
879,2020-02-28,Dallas Mavericks,118,Miami Heat,126,8,1,0
880,2020-02-28,Oklahoma City Thunder,86,Milwaukee Bucks,133,47,1,0
881,2020-02-28,Cleveland Cavaliers,104,New Orleans Pelicans,116,12,1,0
882,2020-02-28,Detroit Pistons,113,Phoenix Suns,111,-2,0,1
883,2020-02-28,Washington Wizards,119,Utah Jazz,129,10,1,0
884,2020-02-28,Denver Nuggets,103,Los Angeles Clippers,132,29,1,0
885,2020-02-29,Chicago Bulls,115,New York Knicks,125,10,1,0
886,2020-02-29,Portland Trail Blazers,117,Atlanta Hawks,129,12,1,0
887,2020-02-29,Brooklyn Nets,113,Miami Heat,116,3,1,0
888,2020-02-29,Indiana Pacers,113,Cleveland Cavaliers,104,-9,0,1
889,2020-02-29,Los Angeles Lakers,88,Memphis Grizzlies,105,17,1,0
890,2020-02-29,Houston Rockets,111,Boston Celtics,110,-1,0,1
891,2020-02-29,Orlando Magic,113,San Antonio Spurs,114,1,1,0
892,2020-02-29,Golden State Warriors,115,Phoenix Suns,99,-16,0,1
893,2020-03-01,Milwaukee Bucks,93,Charlotte Hornets,85,-8,0,1
894,2020-03-01,Philadelphia 76ers,130,Los Angeles Clippers,136,6,1,0
895,2020-03-01,Dallas Mavericks,111,Minnesota Timberwolves,91,-20,0,1
896,2020-03-01,Toronto Raptors,118,Denver Nuggets,133,15,1,0
897,2020-03-01,Detroit Pistons,100,Sacramento Kings,106,6,1,0
898,2020-03-01,Los Angeles Lakers,122,New Orleans Pelicans,114,-8,0,1
899,2020-03-01,Washington Wizards,124,Golden State Warriors,110,-14,0,1
900,2020-03-02,Utah Jazz,126,Cleveland Cavaliers,113,-13,0,1
901,2020-03-02,Houston Rockets,123,New York Knicks,125,2,1,0
902,2020-03-02,Portland Trail Blazers,130,Orlando Magic,107,-23,0,1
903,2020-03-02,Memphis Grizzlies,127,Atlanta Hawks,88,-39,0,1
904,2020-03-02,Milwaukee Bucks,89,Miami Heat,105,16,1,0
905,2020-03-02,Dallas Mavericks,107,Chicago Bulls,109,2,1,0
906,2020-03-02,Indiana Pacers,116,San Antonio Spurs,111,-5,0,1
907,2020-03-03,San Antonio Spurs,104,Charlotte Hornets,103,-1,0,1
908,2020-03-03,Brooklyn Nets,129,Boston Celtics,120,-9,0,1
909,2020-03-03,Minnesota Timberwolves,139,New Orleans Pelicans,134,-5,0,1
910,2020-03-03,Los Angeles Clippers,109,Oklahoma City Thunder,94,-15,0,1
911,2020-03-03,Golden State Warriors,116,Denver Nuggets,100,-16,0,1
912,2020-03-03,Toronto Raptors,123,Phoenix Suns,114,-9,0,1
913,2020-03-03,Philadelphia 76ers,107,Los Angeles Lakers,120,13,1,0
914,2020-03-03,Washington Wizards,126,Sacramento Kings,133,7,1,0
915,2020-03-04,Boston Celtics,112,Cleveland Cavaliers,106,-6,0,1
916,2020-03-04,Oklahoma City Thunder,114,Detroit Pistons,107,-7,0,1
917,2020-03-04,Indiana Pacers,100,Milwaukee Bucks,119,19,1,0
918,2020-03-04,Memphis Grizzlies,118,Brooklyn Nets,79,-39,0,1
919,2020-03-04,Utah Jazz,112,New York Knicks,104,-8,0,1
920,2020-03-04,Orlando Magic,113,Miami Heat,116,3,1,0
921,2020-03-04,Chicago Bulls,108,Minnesota Timberwolves,115,7,1,0
922,2020-03-04,New Orleans Pelicans,123,Dallas Mavericks,127,4,1,0
923,2020-03-04,Washington Wizards,104,Portland Trail Blazers,125,21,1,0
924,2020-03-05,Denver Nuggets,114,Charlotte Hornets,112,-2,0,1
925,2020-03-05,Los Angeles Clippers,120,Houston Rockets,105,-15,0,1
926,2020-03-05,Philadelphia 76ers,125,Sacramento Kings,108,-17,0,1
927,2020-03-05,Toronto Raptors,121,Golden State Warriors,113,-8,0,1
928,2020-03-06,Atlanta Hawks,112,Washington Wizards,118,6,1,0
929,2020-03-06,San Antonio Spurs,120,Brooklyn Nets,139,19,1,0
930,2020-03-06,Oklahoma City Thunder,126,New York Knicks,103,-23,0,1
931,2020-03-06,Indiana Pacers,108,Chicago Bulls,102,-6,0,1
932,2020-03-06,Orlando Magic,132,Minnesota Timberwolves,118,-14,0,1
933,2020-03-06,Miami Heat,104,New Orleans Pelicans,110,6,1,0
934,2020-03-06,Utah Jazz,99,Boston Celtics,94,-5,0,1
935,2020-03-06,Memphis Grizzlies,96,Dallas Mavericks,121,25,1,0
936,2020-03-06,Portland Trail Blazers,117,Phoenix Suns,127,10,1,0
937,2020-03-06,Milwaukee Bucks,103,Los Angeles Lakers,113,10,1,0
938,2020-03-07,Houston Rockets,99,Charlotte Hornets,108,9,1,0
939,2020-03-07,Utah Jazz,111,Detroit Pistons,105,-6,0,1
940,2020-03-07,Denver Nuggets,102,Cleveland Cavaliers,104,2,1,0
941,2020-03-07,Atlanta Hawks,101,Memphis Grizzlies,118,17,1,0
942,2020-03-07,Philadelphia 76ers,114,Golden State Warriors,118,4,1,0
943,2020-03-07,Sacramento Kings,123,Portland Trail Blazers,111,-12,0,1
944,2020-03-08,Chicago Bulls,107,Brooklyn Nets,110,3,1,0
945,2020-03-08,New Orleans Pelicans,120,Minnesota Timberwolves,107,-13,0,1
946,2020-03-08,Los Angeles Lakers,112,Los Angeles Clippers,103,-9,0,1
947,2020-03-08,Oklahoma City Thunder,105,Boston Celtics,104,-1,0,1
948,2020-03-08,Milwaukee Bucks,131,Phoenix Suns,140,9,1,0
949,2020-03-08,Miami Heat,100,Washington Wizards,89,-11,0,1
950,2020-03-08,Indiana Pacers,112,Dallas Mavericks,109,-3,0,1
951,2020-03-08,Orlando Magic,126,Houston Rockets,106,-20,0,1
952,2020-03-08,Detroit Pistons,84,New York Knicks,96,12,1,0
953,2020-03-08,San Antonio Spurs,129,Cleveland Cavaliers,132,3,1,0
954,2020-03-08,Toronto Raptors,118,Sacramento Kings,113,-5,0,1
955,2020-03-09,Charlotte Hornets,138,Atlanta Hawks,143,5,1,0
956,2020-03-09,Milwaukee Bucks,95,Denver Nuggets,109,14,1,0
957,2020-03-09,Toronto Raptors,101,Utah Jazz,92,-9,0,1
958,2020-03-10,New York Knicks,115,Washington Wizards,122,7,1,0
959,2020-03-10,Boston Celtics,114,Indiana Pacers,111,-3,0,1
960,2020-03-10,Minnesota Timberwolves,111,Houston Rockets,117,6,1,0
961,2020-03-10,Dallas Mavericks,109,San Antonio Spurs,119,10,1,0
962,2020-03-10,Orlando Magic,120,Memphis Grizzlies,115,-5,0,1
963,2020-03-10,Cleveland Cavaliers,103,Chicago Bulls,108,5,1,0
964,2020-03-10,Phoenix Suns,105,Portland Trail Blazers,121,16,1,0
965,2020-03-10,Brooklyn Nets,104,Los Angeles Lakers,102,-2,0,1
966,2020-03-10,Los Angeles Clippers,131,Golden State Warriors,107,-24,0,1
967,2020-03-11,Detroit Pistons,106,Philadelphia 76ers,124,18,1,0
968,2020-03-11,New York Knicks,136,Atlanta Hawks,131,-5,0,1
969,2020-03-11,Charlotte Hornets,109,Miami Heat,98,-11,0,1
970,2020-03-11,Denver Nuggets,97,Dallas Mavericks,113,16,1,0
971,2020-07-30,Utah Jazz,106,New Orleans Pelicans,104,-2,0,1
972,2020-07-30,Los Angeles Clippers,101,Los Angeles Lakers,103,2,1,0
973,2020-07-31,Orlando Magic,128,Brooklyn Nets,118,-10,0,1
974,2020-07-31,Memphis Grizzlies,135,Portland Trail Blazers,140,5,1,0
975,2020-07-31,Phoenix Suns,125,Washington Wizards,112,-13,0,1
976,2020-07-31,Boston Celtics,112,Milwaukee Bucks,119,7,1,0
977,2020-07-31,Sacramento Kings,120,San Antonio Spurs,129,9,1,0
978,2020-07-31,Houston Rockets,153,Dallas Mavericks,149,-4,0,1
979,2020-08-01,Miami Heat,125,Denver Nuggets,105,-20,0,1
980,2020-08-01,Utah Jazz,94,Oklahoma City Thunder,110,16,1,0
981,2020-08-01,New Orleans Pelicans,103,Los Angeles Clippers,126,23,1,0
982,2020-08-01,Philadelphia 76ers,121,Indiana Pacers,127,6,1,0
983,2020-08-01,Los Angeles Lakers,92,Toronto Raptors,107,15,1,0
984,2020-08-02,Washington Wizards,110,Brooklyn Nets,118,8,1,0
985,2020-08-02,Portland Trail Blazers,124,Boston Celtics,128,4,1,0
986,2020-08-02,San Antonio Spurs,108,Memphis Grizzlies,106,-2,0,1
987,2020-08-02,Sacramento Kings,116,Orlando Magic,132,16,1,0
988,2020-08-02,Milwaukee Bucks,116,Houston Rockets,120,4,1,0
989,2020-08-02,Dallas Mavericks,115,Phoenix Suns,117,2,1,0
990,2020-08-03,Toronto Raptors,107,Miami Heat,103,-4,0,1
991,2020-08-03,Denver Nuggets,121,Oklahoma City Thunder,113,-8,0,1
992,2020-08-03,Indiana Pacers,111,Washington Wizards,100,-11,0,1
993,2020-08-03,Memphis Grizzlies,99,New Orleans Pelicans,109,10,1,0
994,2020-08-03,San Antonio Spurs,130,Philadelphia 76ers,132,2,1,0
995,2020-08-03,Los Angeles Lakers,116,Utah Jazz,108,-8,0,1
996,2020-08-04,Brooklyn Nets,119,Milwaukee Bucks,116,-3,0,1
997,2020-08-04,Dallas Mavericks,114,Sacramento Kings,110,-4,0,1
998,2020-08-04,Phoenix Suns,117,Los Angeles Clippers,115,-2,0,1
999,2020-08-04,Orlando Magic,109,Indiana Pacers,120,11,1,0
1000,2020-08-04,Boston Celtics,106,Miami Heat,112,6,1,0
1001,2020-08-04,Houston Rockets,102,Portland Trail Blazers,110,8,1,0
1002,2020-08-05,Memphis Grizzlies,115,Utah Jazz,124,9,1,0
1003,2020-08-05,Denver Nuggets,132,San Antonio Spurs,126,-6,0,1
1004,2020-08-05,Philadelphia 76ers,107,Washington Wizards,98,-9,0,1
1005,2020-08-05,Oklahoma City Thunder,105,Los Angeles Lakers,86,-19,0,1
1006,2020-08-05,Toronto Raptors,109,Orlando Magic,99,-10,0,1
1007,2020-08-05,Brooklyn Nets,115,Boston Celtics,149,34,1,0
1008,2020-08-06,New Orleans Pelicans,125,Sacramento Kings,140,15,1,0
1009,2020-08-06,Miami Heat,116,Milwaukee Bucks,130,14,1,0
1010,2020-08-06,Indiana Pacers,99,Phoenix Suns,114,15,1,0
1011,2020-08-06,Los Angeles Clippers,126,Dallas Mavericks,111,-15,0,1
1012,2020-08-06,Portland Trail Blazers,125,Denver Nuggets,115,-10,0,1
1013,2020-08-06,Los Angeles Lakers,97,Houston Rockets,113,16,1,0
1014,2020-08-07,Utah Jazz,111,San Antonio Spurs,119,8,1,0
1015,2020-08-07,Oklahoma City Thunder,92,Memphis Grizzlies,121,29,1,0
1016,2020-08-07,Sacramento Kings,106,Brooklyn Nets,119,13,1,0
1017,2020-08-07,Orlando Magic,101,Philadelphia 76ers,108,7,1,0
1018,2020-08-07,Washington Wizards,107,New Orleans Pelicans,118,11,1,0
1019,2020-08-07,Boston Celtics,122,Toronto Raptors,100,-22,0,1
1020,2020-08-08,Los Angeles Clippers,122,Portland Trail Blazers,117,-5,0,1
1021,2020-08-08,Utah Jazz,132,Denver Nuggets,134,2,1,0
1022,2020-08-08,Los Angeles Lakers,111,Indiana Pacers,116,5,1,0
1023,2020-08-08,Phoenix Suns,119,Miami Heat,112,-7,0,1
1024,2020-08-08,Milwaukee Bucks,132,Dallas Mavericks,136,4,1,0
1025,2020-08-09,Washington Wizards,103,Oklahoma City Thunder,121,18,1,0
1026,2020-08-09,Memphis Grizzlies,99,Toronto Raptors,108,9,1,0
1027,2020-08-09,San Antonio Spurs,122,New Orleans Pelicans,113,-9,0,1
1028,2020-08-09,Orlando Magic,119,Boston Celtics,122,3,1,0
1029,2020-08-09,Philadelphia 76ers,121,Portland Trail Blazers,124,3,1,0
1030,2020-08-09,Houston Rockets,129,Sacramento Kings,112,-17,0,1
1031,2020-08-09,Brooklyn Nets,129,Los Angeles Clippers,120,-9,0,1
1032,2020-08-10,Oklahoma City Thunder,101,Phoenix Suns,128,27,1,0
1033,2020-08-10,Dallas Mavericks,122,Utah Jazz,114,-8,0,1
1034,2020-08-10,Toronto Raptors,114,Milwaukee Bucks,106,-8,0,1
1035,2020-08-10,Indiana Pacers,92,Miami Heat,114,22,1,0
1036,2020-08-10,Denver Nuggets,121,Los Angeles Lakers,124,3,1,0
1037,2020-08-11,Brooklyn Nets,108,Orlando Magic,96,-12,0,1
1038,2020-08-11,Houston Rockets,105,San Antonio Spurs,123,18,1,0
1039,2020-08-11,Phoenix Suns,130,Philadelphia 76ers,117,-13,0,1
1040,2020-08-11,Boston Celtics,122,Memphis Grizzlies,107,-15,0,1
1041,2020-08-11,Portland Trail Blazers,134,Dallas Mavericks,131,-3,0,1
1042,2020-08-11,New Orleans Pelicans,106,Sacramento Kings,112,6,1,0
1043,2020-08-11,Milwaukee Bucks,126,Washington Wizards,113,-13,0,1
1044,2020-08-12,Indiana Pacers,108,Houston Rockets,104,-4,0,1
1045,2020-08-12,Toronto Raptors,125,Philadelphia 76ers,121,-4,0,1
1046,2020-08-12,Miami Heat,115,Oklahoma City Thunder,116,1,1,0
1047,2020-08-12,Los Angeles Clippers,124,Denver Nuggets,111,-13,0,1
1048,2020-08-13,Washington Wizards,96,Boston Celtics,90,-6,0,1
1049,2020-08-13,Sacramento Kings,136,Los Angeles Lakers,122,-14,0,1
1050,2020-08-13,Milwaukee Bucks,106,Memphis Grizzlies,119,13,1,0
1051,2020-08-13,Dallas Mavericks,102,Phoenix Suns,128,26,1,0
1052,2020-08-13,San Antonio Spurs,112,Utah Jazz,118,6,1,0
1053,2020-08-13,Portland Trail Blazers,134,Brooklyn Nets,133,-1,0,1
1054,2020-08-13,New Orleans Pelicans,127,Orlando Magic,133,6,1,0
1055,2020-08-14,Denver Nuggets,109,Toronto Raptors,117,8,1,0
1056,2020-08-14,Miami Heat,92,Indiana Pacers,109,17,1,0
1057,2020-08-14,Oklahoma City Thunder,103,Los Angeles Clippers,107,4,1,0
1058,2020-08-14,Philadelphia 76ers,134,Houston Rockets,96,-38,0,1
1059,2020-08-15,Memphis Grizzlies,122,Portland Trail Blazers,126,4,1,0
1060,2020-08-17,Utah Jazz,125,Denver Nuggets,135,10,1,0
1061,2020-08-17,Brooklyn Nets,110,Toronto Raptors,134,24,1,0
1062,2020-08-17,Philadelphia 76ers,101,Boston Celtics,109,8,1,0
1063,2020-08-17,Dallas Mavericks,110,Los Angeles Clippers,118,8,1,0
1064,2020-08-18,Orlando Magic,122,Milwaukee Bucks,110,-12,0,1
1065,2020-08-18,Miami Heat,113,Indiana Pacers,101,-12,0,1
1066,2020-08-18,Oklahoma City Thunder,108,Houston Rockets,123,15,1,0
1067,2020-08-18,Portland Trail Blazers,100,Los Angeles Lakers,93,-7,0,1
1068,2020-08-19,Brooklyn Nets,99,Toronto Raptors,104,5,1,0
1069,2020-08-19,Utah Jazz,124,Denver Nuggets,105,-19,0,1
1070,2020-08-19,Philadelphia 76ers,101,Boston Celtics,128,27,1,0
1071,2020-08-19,Dallas Mavericks,127,Los Angeles Clippers,114,-13,0,1
1072,2020-08-20,Miami Heat,109,Indiana Pacers,100,-9,0,1
1073,2020-08-20,Oklahoma City Thunder,98,Houston Rockets,111,13,1,0
1074,2020-08-20,Orlando Magic,96,Milwaukee Bucks,111,15,1,0
1075,2020-08-20,Portland Trail Blazers,88,Los Angeles Lakers,111,23,1,0
1076,2020-08-21,Toronto Raptors,117,Brooklyn Nets,92,-25,0,1
1077,2020-08-21,Denver Nuggets,87,Utah Jazz,124,37,1,0
1078,2020-08-21,Boston Celtics,102,Philadelphia 76ers,94,-8,0,1
1079,2020-08-21,Los Angeles Clippers,130,Dallas Mavericks,122,-8,0,1
1080,2020-08-22,Milwaukee Bucks,121,Orlando Magic,107,-14,0,1
1081,2020-08-22,Indiana Pacers,115,Miami Heat,124,9,1,0
1082,2020-08-22,Houston Rockets,107,Oklahoma City Thunder,119,12,1,0
1083,2020-08-22,Los Angeles Lakers,116,Portland Trail Blazers,108,-8,0,1
1084,2020-08-23,Boston Celtics,110,Philadelphia 76ers,106,-4,0,1
1085,2020-08-23,Los Angeles Clippers,133,Dallas Mavericks,135,2,1,0
1086,2020-08-23,Toronto Raptors,150,Brooklyn Nets,122,-28,0,1
1087,2020-08-23,Denver Nuggets,127,Utah Jazz,129,2,1,0
1088,2020-08-24,Milwaukee Bucks,121,Orlando Magic,106,-15,0,1
1089,2020-08-24,Houston Rockets,114,Oklahoma City Thunder,117,3,1,0
1090,2020-08-24,Indiana Pacers,87,Miami Heat,99,12,1,0
1091,2020-08-24,Los Angeles Lakers,135,Portland Trail Blazers,115,-20,0,1
1092,2020-08-25,Utah Jazz,107,Denver Nuggets,117,10,1,0
1093,2020-08-25,Dallas Mavericks,111,Los Angeles Clippers,154,43,1,0
1094,2020-08-29,Orlando Magic,104,Milwaukee Bucks,118,14,1,0
1095,2020-08-29,Oklahoma City Thunder,80,Houston Rockets,114,34,1,0
1096,2020-08-29,Portland Trail Blazers,122,Los Angeles Lakers,131,9,1,0
1097,2020-08-30,Boston Celtics,112,Toronto Raptors,94,-18,0,1
1098,2020-08-30,Los Angeles Clippers,111,Dallas Mavericks,97,-14,0,1
1099,2020-08-30,Denver Nuggets,119,Utah Jazz,107,-12,0,1
1100,2020-08-31,Miami Heat,115,Milwaukee Bucks,104,-11,0,1
1101,2020-08-31,Houston Rockets,100,Oklahoma City Thunder,104,4,1,0
1102,2020-09-01,Boston Celtics,102,Toronto Raptors,99,-3,0,1
1103,2020-09-01,Utah Jazz,78,Denver Nuggets,80,2,1,0
1104,2020-09-02,Miami Heat,116,Milwaukee Bucks,114,-2,0,1
1105,2020-09-02,Oklahoma City Thunder,102,Houston Rockets,104,2,1,0
1106,2020-09-03,Toronto Raptors,104,Boston Celtics,103,-1,0,1
1107,2020-09-03,Denver Nuggets,97,Los Angeles Clippers,120,23,1,0
1108,2020-09-04,Milwaukee Bucks,100,Miami Heat,115,15,1,0
1109,2020-09-04,Houston Rockets,112,Los Angeles Lakers,97,-15,0,1
1110,2020-09-05,Toronto Raptors,100,Boston Celtics,93,-7,0,1
1111,2020-09-05,Denver Nuggets,110,Los Angeles Clippers,101,-9,0,1
1112,2020-09-06,Milwaukee Bucks,118,Miami Heat,115,-3,0,1
1113,2020-09-06,Houston Rockets,109,Los Angeles Lakers,117,8,1,0
1114,2020-09-07,Boston Celtics,111,Toronto Raptors,89,-22,0,1
1115,2020-09-07,Los Angeles Clippers,113,Denver Nuggets,107,-6,0,1
1116,2020-09-08,Miami Heat,103,Milwaukee Bucks,94,-9,0,1
1117,2020-09-08,Los Angeles Lakers,112,Houston Rockets,102,-10,0,1
1118,2020-09-09,Toronto Raptors,125,Boston Celtics,122,-3,0,1
1119,2020-09-09,Los Angeles Clippers,96,Denver Nuggets,85,-11,0,1
1120,2020-09-10,Los Angeles Lakers,110,Houston Rockets,100,-10,0,1
1121,2020-09-11,Denver Nuggets,111,Los Angeles Clippers,105,-6,0,1
1122,2020-09-11,Boston Celtics,92,Toronto Raptors,87,-5,0,1
1123,2020-09-12,Houston Rockets,96,Los Angeles Lakers,119,23,1,0
1124,2020-09-13,Los Angeles Clippers,98,Denver Nuggets,111,13,1,0
1125,2020-09-15,Miami Heat,117,Boston Celtics,114,-3,0,1
1126,2020-09-15,Denver Nuggets,104,Los Angeles Clippers,89,-15,0,1
1127,2020-09-17,Miami Heat,106,Boston Celtics,101,-5,0,1
1128,2020-09-18,Denver Nuggets,114,Los Angeles Lakers,126,12,1,0
1129,2020-09-19,Boston Celtics,117,Miami Heat,106,-11,0,1
1130,2020-09-20,Denver Nuggets,103,Los Angeles Lakers,105,2,1,0
